cohort,variable,n_total,n_missing,pct_missing
hospitalization,MitralInflowPeakEWave,644,63,9.78
hospitalization,TissueDopplerEERatioLateral,644,122,18.94
hospitalization,TissueDopplerEERatioSeptal,644,122,18.94
hospitalization,TissueDopplerEVelosityLateral,644,114,17.7
hospitalization,TissueDopplerEVelositySeptal,644,114,17.7
hospitalization,LACavitySize,644,43,6.68
hospitalization,ECHO_SPAP,644,119,18.48
hospitalization,EstimatedSysPAPressure,644,108,16.77
hospitalization,TricuspidRegurgitation,644,45,6.99
hospitalization,MitralRegurgitation,644,48,7.45
hospitalization,days_echo_to_dialysis,644,0,0.0
main_dataset,AFIB_binary,644,0,0.0
main_dataset,AgeAtFirstHFDate,644,0,0.0
main_dataset,CABG_binary,644,0,0.0
main_dataset,COPD_binary,644,0,0.0
main_dataset,Diabetes mellitus_binary,644,0,0.0
main_dataset,HD/PD,644,0,0.0
main_dataset,HTN_binary,644,0,0.0
main_dataset,IHD_binary,644,0,0.0
main_dataset,MI_binary,644,0,0.0
main_dataset,albumin-numeric result,644,1,0.16
main_dataset,creatinine-numeric result,644,1,0.16
main_dataset,crp-numeric result,644,25,3.88
main_dataset,hb-numeric result,644,66,10.25
main_dataset,m/f,644,1,0.16
main_dataset,LV_EF,644,4,0.62
main_dataset,LeftVentricleEstimatedMassIndex,644,66,10.25
main_dataset,MitralInflowPeakEWave,644,63,9.78
main_dataset,TissueDopplerEERatioLateral,644,122,18.94
main_dataset,TissueDopplerEERatioSeptal,644,122,18.94
main_dataset,TissueDopplerEVelosityLateral,644,114,17.7
main_dataset,TissueDopplerEVelositySeptal,644,114,17.7
main_dataset,LACavitySize,644,43,6.68
main_dataset,ECHO_SPAP,644,119,18.48
main_dataset,EstimatedSysPAPressure,644,108,16.77
main_dataset,TricuspidRegurgitation,644,45,6.99
main_dataset,MitralRegurgitation,644,48,7.45
main_dataset,days_echo_to_dialysis,644,0,0.0
sensitivity_dataset,BMI,644,125,19.41
sensitivity_dataset,DYSLIPIDEMIA_binary,644,0,0.0
sensitivity_dataset,OncologicalDiagnosis_binary,644,0,0.0
sensitivity_dataset,Weight,644,90,13.98
sensitivity_dataset,LeftVentricleScoreIndex,644,5,0.78
sensitivity_dataset,LeftVentricleSystolicFunction,644,75,11.65
sensitivity_dataset,TissueDopplerSVelocityLateral,644,131,20.34
sensitivity_dataset,TissueDopplerSVelocitySeptal,644,203,31.52
sensitivity_dataset,LeftVentricleCavitySize,644,74,11.49
sensitivity_dataset,LeftVentricleEndDiastolicDiameter,644,8,1.24
sensitivity_dataset,LeftVentricleEndSystolicDiameter,644,9,1.4
sensitivity_dataset,LeftVentricleEstimatedMass,644,16,2.48
sensitivity_dataset,LeftVentricleInterventricularSeptumThickness,644,8,1.24
sensitivity_dataset,LeftVentriclePosteriorWallThickness,644,13,2.02
sensitivity_dataset,LeftVentricleWallThickness,644,243,37.73
sensitivity_dataset,RVSize,644,345,53.57
sensitivity_dataset,RVSystolicFunction,644,341,52.95
sensitivity_dataset,AorticValveRegurgitation,644,342,53.11
sensitivity_dataset,AorticValveStructure,644,194,30.12
sensitivity_dataset,GFR,644,1,0.16
sensitivity_dataset,ca-numeric result,644,1,0.16
sensitivity_dataset,dbp-numeric result,644,137,21.27
sensitivity_dataset,hba1c-numeric result,644,64,9.94
sensitivity_dataset,k-numeric result,644,3,0.47
sensitivity_dataset,na-numeric result,644,3,0.47
sensitivity_dataset,p-numeric result,644,1,0.16
sensitivity_dataset,sbp-numeric result,644,164,25.47
sensitivity_dataset,ua-numeric result,644,1,0.16
sensitivity_dataset,urea-numeric result,644,4,0.62
sensitivity_dataset,years_since_MI,644,516,80.12
exploratory_dataset,years_since_MI,644,516,80.12
exploratory_dataset,LeftVentricleSummary,644,449,69.72
exploratory_dataset,AorticValveSummary,644,506,78.57
exploratory_dataset,MitralValveSummary,644,443,68.79
exploratory_dataset,ProcedureSummary,644,0,0.0
