model,cluster,IRR,CI_lo,CI_hi,p_value,sig
Model0_unadjusted,C1,2.066,0.0,1.0432639502123127e+108,0.9954,
Model0_unadjusted,C2,1.882,0.0,2.87921108993535e+102,0.9958,
Model1_GFR,C1,1.283,0.0,3.8230162596676205e+178,0.9991,
Model1_GFR,C2,1.164,0.0,2.885188826736111e+117,0.9991,
Model2_creatinine,C1,1.399,0.0,4.0807553114395136e+180,0.9987,
Model2_creatinine,C2,1.263,0.0,5.752215032834156e+122,0.9987,
Model3_extended,C1,1.6,0.0,1.684610449355186e+187,0.9983,
Model3_extended,C2,1.23,0.0,1.575713748127902e+118,0.9988,
