column,dtype,vtype,n_missing,pct_missing,n_unique,in_stage2,sample_or_levels
MitralValveStructure,str,categorical/string/date,197,30.5,10,False,No Value: 261 (40.5%); nan: 197 (30.5%); Thickened / sclerotic: 65 (10.1%); Calcified: 62 (9.6%); Normal: 20 (3.1%); Prosthetic: 14 (2.2%); S/P Repair: 10 (1.6%); Bioprosthetic: 6 (0.9%); See below: 5 (0.8%); Rheumatic: 3 (0.5%)
MitralRegurgitation,str,categorical/string/date,19,2.9,7,True,Mild (I): 229 (35.5%); Trivial: 137 (21.2%); Mild-to-moderate (I-II): 106 (16.4%); Moderate (II): 67 (10.4%); Severe (IV): 34 (5.3%); No Value: 29 (4.5%); Moderately-severe (III): 24 (3.7%); nan: 19 (2.9%)
MitralValveSummary,str,categorical/string/date,443,68.7,57,False,nan: 443 (68.7%); mitral annular calcification.: 60 (9.3%); Mild mitral annular calcification.: 31 (4.8%); Mitral annular calcification.: 11 (1.7%); Mild mitral annular calcification.   : 9 (1.4%); Severe mitral annular calcification.: 8 (1.2%); Mild mitral annulus calcification.: 6 (0.9%); mitral annular calcification.   : 5 (0.8%); mitral annulus calcification.: 5 (0.8%); Normally functioning prosthetic artificial valve in mitral position.: 5 (0.8%)
TricuspidValveStructure,str,categorical/string/date,235,36.4,5,False,No Value: 339 (52.6%); nan: 235 (36.4%); Normal: 54 (8.4%); s/p Repair: 11 (1.7%); Thickened: 3 (0.5%); Bioprosthetic: 3 (0.5%)
TricuspidRegurgitation,str,categorical/string/date,19,2.9,7,True,Mild (I): 197 (30.5%); Trivial: 164 (25.4%); Mild-to-moderate (I-II): 93 (14.4%); Moderate (II): 64 (9.9%); Severe (IV): 51 (7.9%); Moderately-severe (III): 31 (4.8%); No Value: 26 (4.0%); nan: 19 (2.9%)
ECHO_SPAP,str,categorical/string/date,119,18.4,4,True,Severely increased: 150 (23.3%); Moderately increased: 142 (22.0%); Mildly increased: 135 (20.9%); nan: 119 (18.4%); Normal: 99 (15.3%)
LeftVentricleEndDiastolicDiameter,float64,continuous,8,1.2,247,True,"min=3.09999990463257, max=8.69999980926513, median=5.13000011444092"
LeftVentricleEndSystolicDiameter,float64,continuous,9,1.4,272,True,"min=1.53999996185303, max=8.10000038146972, median=3.5"
LeftVentricleInterventricularSeptumThickness,float64,continuous,8,1.2,117,True,"min=0.46000000834465, max=2.20000004768371, median=1.16999995708466"
LeftVentriclePosteriorWallThickness,float64,continuous,13,2.0,99,True,"min=0.52999997138977, max=1.75999999046325, median=1.0"
LeftVentricleEstimatedMass,float64,continuous,16,2.5,562,True,"min=78.7604064941406, max=555.079406738281, median=218.0"
LeftVentricleEstimatedMassIndex,float64,continuous,67,10.4,146,True,"min=23.0, max=294.0, median=113.5"
LeftVentricleScoreIndex,float64,continuous,5,0.8,45,True,"min=1.0, max=2.88000011444092, median=1.0"
EstimatedSysPAPressure,float64,continuous,108,16.7,77,True,"min=19.0, max=105.0, median=49.0"
MitralInflowPeakEWave,float64,continuous,63,9.8,302,True,"min=38.0, max=230.0, median=104.0"
TissueDopplerSVelocitySeptal,float64,continuous,204,31.6,201,True,"min=2.0, max=13.5, median=5.69000005722045"
TissueDopplerEVelositySeptal,float64,continuous,114,17.7,245,True,"min=2.0, max=16.0, median=5.0"
TissueDopplerEERatioSeptal,float64,continuous,122,18.9,474,True,"min=4.30999994277954, max=66.9599990844727, median=19.7199993133545"
TissueDopplerSVelocityLateral,float64,continuous,131,20.3,233,True,"min=2.0, max=14.0, median=6.490000009536745"
TissueDopplerEVelosityLateral,float64,continuous,114,17.7,255,True,"min=2.0, max=18.0, median=7.0"
TissueDopplerEERatioLateral,float64,continuous,122,18.9,452,True,"min=4.44000005722045, max=45.0800018310546, median=14.25"
