column,level,n,pct
ProcedureSummary,"חדר שמאלי מורחב במידה קלה, התכווצותו גלובלית ירודה במידה קשה. ירידה די דיפוזית מערבת את כל הדפנות, בולטת יותר בדופן אינפריורית, אחורית ולטרלית, תבנית זרימה רסטריקטיבית. חדר ימני מורחב והיפוקינטי. אי ספיקה מיטרלית קלה עד בינונית, טריקוספידלית קלה. עליות מוגדלות במידה בינונית. הרחבה קלה של סינוסים האורטליים ואאורטה העולה. הודגם נוזל פריקרדיאלי קטן ונוזל פלאורלי מימין. יתר לחץ דם ריאתי ניכר. ",1,0.16
ProcedureSummary,"חדר שמאל מורחב, תפקודו הגלובלי מופחת במידה בינונית-קשה דיפוזית. עקומת המילוי מתאימה להענות ירודה של החדר. חדר ימין בגודל ובתפקוד תקין. האנולוס המיטרלי מסוייד, דליפה מיטרלית מינימלית. בהעדר דליפה טריקוספידלית לא ניתן למדוד לחץ דם ריאתי. עליה שמאלית מורחבת במידה בינונית. ",1,0.16
ProcedureSummary,בדיקה בוצעה בזמן AFIB בממוצע 80 לדקה. קושי טכני קל-בינוני ממנחים אפיקלים. חדר שמאלי בגודל והתכווצות גלובלית ואיזורית תקינה. ספטום מעט אסינכרוני. חדר ימני בגודל והתכווצות תקינה. אי ספיקה מיטרלית מינימלית וטריקוספידלית קלה. לחץ דם ריאתי 14+20+34 - תתכן תת הערכה עקב עקומת TR לא מלאה.  הגדלה קלה+ של העליה השמאלית. הודגם תפליט פריקרדיאלי בכמות קטנה ללא סימני לחץ. IVC מורחב ללא קולפס נשימתי. יש קושי בהערכה דיאסאולית בנוכחות פרפור. ,1,0.16
ProcedureSummary,"בדיקה בוצעה בשכיבה על הגב טכיקרדית.   חדר שמאל מורחב במידה בינונית תפקווד הסיסטולי הגלובלי מופחת במידה קשה באופן דיפוזי , לא ניתן לקבוע תפקוד דיאסטולי, עליה שמאל מורחבת במידה קשה.   חדר ימין בגודל תקין, תפקודו הסיסטולי ירוד במידה קלה, ל""ד ריאתי מוגבר במידה קשה.   מסתם אאורטלי במבנה ותפקוד תקינים, מסתם מיטראלי עם TETHERING ניכר של שני העלים והעדר קואפטציה בינהם דבר המביא לדלף קשה, דלף טריקוספידלי בינוני. מודגם תפליט פריקרדיאלי קטן ללא עדות ללחץ על מדורים ימניים. אלקטרודת קוצב בחדר ימין.",1,0.16
ProcedureSummary,"חדר שמאל עם חלל בגודל תקין (ביחס לBSA) , היפרטרופי במידה קלה,תפקודו הסיסטולי הגלובלי של חדר שמאל  תקין ללא הפרעה אזורית , לא ניתן לקבוע תפקוד דיאסטולי, עליה שמאל מורחבת במידה קלה   מסתם אאורטלי מסוייד ללא דלף או הצרות, אנולוס מיטראלי מסוייד ללא הצרות , דלף מיטראלי וטריקוספידלי מינימלי ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, התכווצותו הגלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, אי ספיקה מיטרלית מינימלית, אי ספיקה טריקוספידלית מינימלית, אין עדות ליתר לחץ דם ריאתי , ללא הגדלה של העליה השמאלית.  הודגם תפליט פרקרדיאלי בכמות מינימלית, IVC מורחב ללא קולפס נשימתי. ",1,0.16
ProcedureSummary,"עליה שמאלית מורחבת. חדר ימין תקין. חדר שמאל ברוחב תקין עם תפקוד גלובלי ואזורי תקין. אס""ק אאורטלית מינימלית. אס""ק מיטרלית קלה, אס""ק טריקוספידלית מינימלית. לחץ ריאתי תקין. הפרעה ברלקסציה.",1,0.16
ProcedureSummary,"חדר שמאל ברוחב תקין, תפקודו הגלובלי מופחת במידה קשה עם אקיניזה ספטלית, אקיניזה אפיקלית ,אקיניזה אינפריורית. היפוקינזיה פוסטריורית. חדר ימין בגודל ובתפקוד תקין. האנולוס המיטרלי מסוייד קלות דליפה מיטרלית קלה. דליפה טריקוספידלית קלה, עדות ליתר לחץ דם ריאתי קל. עליות ברוחב תקין. האאורטה העולה מורחבת במידה קלה. ",1,0.16
ProcedureSummary,"חדר שמאל עם חלל בגודל תקין, דפנותיו מעובות במידה בינונית,תפקודו הסיסטולי הגלובלי ירוד במידה קשה עם אקיזניה אחורית, ספטובזאלית ואפיקלית, שאר הדפנות היפוקינטיות, לחצי המילוי הדיאסטוליים מוגברים, עליות מורחבות במידה קלה   חדר ימין בגודל תקין עם תפקוד סיסטולי מופחת במידה קשה , ל""ד ריאתי מוערך מוגבר במידה קלה, כנראה תת הערכה בשל דלף טריקוספידלי קשה  מסתם אאורטלי מסוייד פתיחתו מוגבלת עם שטח המתאים להצרות עד קשה אך מפל לחצים נמוך על פניו משנית לFLOW נמוך. דלף מיטראלי קשה עקב TETHERING של עלה מיטראלי אחורי,דלף טריקוספידלי קשה. אלקטרודות קוצב בחללים הימניים ",1,0.16
ProcedureSummary," חדר שמאל בגודל תקין, היפרטרופי, התכווצותו הגךלובלית והאזורית תקינה, חדר ימין תקין, מסתם אאורטלי מעט מסוייד, טבעת המסתם המיטרלי מסויידת, אי ספיקה מיטרלית קלה, אי ספיקה טריקוספידלית מינימלית, לחץ דם ריאתי מוגבר במידה בינונית עד קשה, תבנית מילוי פסוידו נורמלית. יחסE/E' מתאים ללחצי מילוי מוגברים בחדר שמאל. נוזל פריקרדיאלי מינימלי.  ",1,0.16
ProcedureSummary,"חדר שמאלי תקין בגודלו,הספטום מעובה במידה קלה,תפקוד גלובלי ואזורי תקין.  תבנית מילוי תקינה.  חדר ימני תקין בגודלו ובתפקודו.  אי ספיקה מיטרלית מינימלית. אי ספיקה טרקיוספידאלית מינימלית.  לחץ ריאתי תקין.  ללא הגדלה של העליה השמאלית. ",1,0.16
ProcedureSummary,"חדר שמאלי מורחב במידה בינונית, דפנותיו מעובים, ההתכווצותו גלובלית ירודה במידה קשה, אקינזיה פוסטריורית, לטרלית, אינפריורית, ואפיקלית שאר הדפנות היפוקינטים, חדר ימין תפקודו ירוד, אי ספיקה אורטלית מינמלית, מסתם מיטרלי עם רטרקציה ניכרת של העלים לכוון החוד בעיקר האחורי עם אי ספיקה מיטרלית קשה, אי ספיקה טריקוספדלית קלה,  לחץ דם ריאתי מוגבר במידה קשה , הגדלה בינונית של העליה השמאלית וקלה של הימנית.  הודגמה אלקטרודת קוצב בחללים ימניים.",1,0.16
ProcedureSummary,"מבחן אקו במאמץ אינו אבחנתי מאחר והושג  56% מהדופק המירבי לגילו. ללא תעוקת חזה בעת המאמץ שבוצע וללא שינויים איסכמיים. בהתאוששות נצפו VPBS.   הודגם תפקוד גלובלי תקין  בנוכחות הרחבה קלה של חדר שמאלי במנוחה ,ללא הרחבה נוספת או שינוי בתפקוד הגלובלי והסגמנטרי בדופק שהושג. ",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי מופחת במידה קלה עד בינונית עם היפוקינזיה ספטאלית, קדמית ואפיקלית (ראה תרשים) , תבנית המילוי הדיאסטולי פסאודונורמלית ,עליה שמאל מורחבת במידה קלה   חדר ימין בגודל תקין עם תפקוד סיסטולי שמור, ל""ד ריאתי מוערך מוגבר במידה בינונית   מסתם אאורטלי מסוייד עם דלף מינימלי, ללא הצרות, דלף מיטראלי קל ודלף טריקוספידלי קל עד בינוני ",1,0.16
ProcedureSummary,"חדר שמאל מורחב במידה קלה, תפקודו הסיסטולי הגלובלי ירוד במידה קשה באופן דיפוזי עם וריאביליות אזורית מסויימת (התכווצות יחסית שמורה של האפקס ,דופן אחורית לטראלית ,ספטאלית ותחתונה אקינטיות והשאר היפוקינטיות) , תבנית המילוי הדיאסטולי רקסרקטיביתףעליה שמאל מורחבת במידה קלה   חדר ימין בגודל תקין ,תפקודו הסיסטולי הגלובלי ירוד במידה עד בינונית, לא ניתן להעריך ל""ד ריאתי בהעדר סיגנל TR   מסתם אאורטלי מסוייד פתיחתו מוגבלת בגלל FLOW נמוך (PESUDOSEVERE AS כנראה) , דלף מיטראלי בינוני ודלף טריקוספידלי קל. שורש אאורטה ואאורטה עולה מעט מורחבים ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל והתכווצות גלובלית ואיזורית תקינה, חדר ימין תקין, עלייה שמאל מורחבת במידה קלה,  אנולוס מיטרלי מסוייד ללא הפרעה בפתיחה, אי ספיקה מיטרלית קלה-בינונית, אי ספיקה אאורטלית מינימלית, אי ספיקה טריקוספידלית קלה,יתר לחץ דם ריאתי במידה בינונית, ללא נוזל פריקרדיאלי, בהעדר גישה ורידית לא בוצע TEE בחיפוש אחר מקור קרדיואמבולי. ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין,ספטום היפרטרופי, התכווצותו הגלובלית והאיזורית תקינה, חדר ימני בגודל והתכווצות תקינה,הסתיידות קשה של הטבעת המיטרלית הגורמת למפל קטן על פמני המסתם. דלף מיטרלי קל,מסתם אאורטאלי מסויד עם הצירות בינוני , דלף טריקוספידלי קל ,  לחץ דם ריאתי מוגבר במידה קלה,  הגדלה של העליה השמאלית במידה בינונית.   ",1,0.16
ProcedureSummary,"חדר שמאלי מורחב עם התכווצות גלובלית מופחתת במידה קשה, אקינזיה רחבה המערבת את כל הדפנות למעט לטרלית שהיפוקינטית,תבנית המילוי עם מאפיינים רסטריקטיבים, חדר ימני מורחב והיפוקינטי, אי ספיקה מיטרלית בינונית אורטלית קלה וטריקוספידלית קלה עד בינונית עם יתר לחץ דם ריאתי בחומרה בינונית, עליות מורחבות, בהערכת סינכרוניזציה בינחדרית נמצא פער של 75 משנ (משמעותי), בהערכת סנכרוניזציה תוך חדרית (12 סגמנטים), נמצאה סטיית תקן של 58 משנ (משמעותי), הפער בין המחיצה והלטרלית 40 משנ, המאחרת ביותר היא הדופן האחורית. ",1,0.16
ProcedureSummary,"חדר שמאל מורחב, התכווצותו ירודה במידה בינונית עד קשה, אקינזיה אפיקלית אינפרובזלית ופוסטריורית, היפוקינזיה לטרלית, חדר ימין עם תפקוד ירוד במידה קלה. עליה שמאלית מורחבת, אי ספיקה מיטרלית וטריקוספידלית קלה, תבנית מילוי רסטרקטיבית.",1,0.16
ProcedureSummary,"חדר שמאל מורחב במידה קלה, היפרטרופיה קלה, תפקודו הגלובלי בשמור,  חדר ימין מורחב ומופחת בתפקודו. פרוזדורים מורחבים.  הודגם דלף מיטרלי קל, דלף טריקוספידלי קל עד בינוני,לחץ ריאתי מוגבר במידה קשה.  UVC מורחב  עם שינוי נשימתי חלקי ",1,0.16
ProcedureSummary,"חדר שמאל בגודל ותפקוד תקין, תבנית המילוי מתאימה להפרעה בהרפיה, חדר ימין בגודל ותפקוד תקין, הרחבה קלה של עליה שמאלית, אי ספיקה מיטרלית וטריקוספידלית קלה, לחץ דם ראתי תקין ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, היפרטרופי, התכווצותו הגלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסוייד מדגים הצרות בינונית, אי ספיקה אורטלית קלה, טבעת המסתם המיטרלי מסויידת ועלי המסתם מסוידים במידה ניכרת, אי ספיקה מיטרלית בינונית, אי ספיקה טריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה בינונית, הגדלה קלה  של העליה השמאלית, הגדלה של העליה הימנית. ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין ,ספטום היפרטרופי עם התכווצות גלובלית היפרדינמית. ככל הניראה קיים מפל דינמי מדיונטריקולרי שלא הודגם. חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסוייד עם דלף מינימלי והצרות בינונית, מסתם מיטרלי מסוייד עם הצירות קלה ודלף מינימלי, דלף טריקוספידלי מינימלי שלא מאפשר הערכת לחץ דם ריאתי, עליות בגודל תקין, הודגם נוזל פריקרדיאלי קטן. ",1,0.16
ProcedureSummary,"עליה שמאלית מורחבת חדר ימין מעט מורחב והיפוקינטי קל. חדר שמאל מורחב עם תפקוד גלובלי ירוד במדיה קשה , דיפוזית. אס""ק מיטרלית קלה. אס""ק  אורטלית מינימלית. טריקוספידלית בינונית +. לחץ ריאתי מוגבר במידה בינונית. תבנית ילוי רסטריקטיבית.",1,0.16
ProcedureSummary,"חדר שמאלי תקין בגודלו  והתכווצותו גלובלית ירודה במידה קלה, אקינזיה אפיקלית. דחיקה של המחיצה בין-חדרית כביטוי לעומס יתר בצד הימני . חדר ימני מורחב עם ירידה בתפקודו, אי ספיקה מיטרלית בינונית, אאורטלית קלה. אי ספיקה טריקוספידלית קשה FREE TR, יתר לחץ דם ריאתי בינוני (תתכן תת-הערכה עקב TR קשה), עליות מורחבות. IVC רחב, ללא תמט נשימתי. מיימת בטנית, תפלט פלאורלי מימין. קוצב מימין.  Regional LV dysfunction.",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, התכווצותו הגלובלית תקינה, תבנית המילוי מעידה על הפרעה ברלקסציה, חדר ימני בגודל והתכווצות תקינה, אי ספיקה מיטרלית קלה, אי ספיקה טריקוספידלית מינימלית, אין עדות ליתר לחץ דם ריאתי, ללא הגדלה של העליה השמאלית.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין התכוצותו הגלובלית תקינה. חדר ימין בגודל ותפקוד תקין (התכווצות ערה), עליה ימנית מורחבת מאוד. אי ספיקה מיטרלית קלה אי ספיקה טריקוספדלית בינונית לחץ דם ריאתי תקין.   אין הסבר טוב לממדי העליה הימנית הגדולים , ממליץ להשלים עם בדיקת MRI של הלב וכן לשקול בדיקת אקו וושט להשלים מידע על המחיצה הבינעליתית או הפרעה אחרת הגורמת לממצא זה. ",1,0.16
ProcedureSummary,"בדיקה קשה טכנית, בוצעה בשכיבה על הגב  חדר שמאלי מוגדל והתכווצותו ירודה במידה קלה-בינונית, ספטום מעובה. לא ניתן להעריך תפקוד דיאסטולי. חדר ימני מורחב ותפקודו הסיסטולי ירוד במידה בינונית. עליה שמאל מורחבת. מסתם אורטלי מסוייד עם דלף קל. טבעת המסתם המיטרלי מסויידת עם דלף קשה. אי ספיקה טריקוספידלית בינונית. לחץ דם ריאתי מוגבר במידה קשה.   לא הודגם תפליט פריקרדיאלי.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית ,תבנית  המילוי הדיאסטולי מתאימה להפרעה ברלקסציה , עליות בגודל תקין   חדר ימין בגודל ותפקוד תקינים ,לא ניתן להעריך ל""ד ריאתי בהעדר סיגנל TR   מסתם אאורטלי תלת עלי מעט מסוייד עם דלף מינימלי ללא הצרות,שאר המסתמים במבנה ותפקוד תקין ",1,0.16
ProcedureSummary,"חדר שמאלי מורחב, היפרטרופיה קלה, התכווצות גלובלית ואזורית מופחתת במידה קשה. חדר ימני בגודל תקין עם ירידה קלה בתיפקודו, אלקטרודות קוצב בחללים ימניים, מסתם האאורטלי מעובה, פתיחה תקינה, אי ספיקה האאורטלית טריוואלית. מסתם מיטרלי עלה אחורי מוגבל בתנועתו, אי ספיקה מיטרלית בינונית, גט אחורי לטרלי, דליפה טריקוספידלית קלה עד בינונית. לחץ ריאתי מוגבר במידה קשה. IVC מורחב, תגובתו לנשימה מופחתת. עליה שמאלית מורחבת במידה בינונית. עליה ימנית מורחבת במידה קלה. ",1,0.16
ProcedureSummary,"חדר שמאלי מורחב עם היפרטרופיה, ירידה גלובלית קשה בתיפקודו, חדר ימין מורחב עם ירידה קשה בתיפקודו, דליפה קלה של מסתם מיטרלי ודליפה קלה עד בינונית של טריקספיד, אין עדות ליתר לחץ דם ריאתי, הגדלה קלה של העליה השמאלית.",1,0.16
ProcedureSummary,חדר שמאל בגודל תקין התכווצותו הגלובלית תקינה. עליות מורחבות במידה בינונית. מסתם אורטלי מסויד. אי ספיקה מיטרלית קלה.   אי ספיקה טריקוספדלית קשה משנית לסגירה בלתי שלמה של עלי המסתם. לחץ דם ריאתי מוגבר במידה קשה. תפליט פריטוניאלי.   ,1,0.16
ProcedureSummary,"עליה  שמאלית מעט מורחבת. עליה ימנית בגול תקין. בתוך העליה ימנית, צמןד לדופן ולביס של העלה הטריקוספידלי הקידמי הודגם ממצא אקוגני בגודל של 3 ס""מ על 0.8 ס""מ. הממצא צמוד לדופן העליה ולא מובילי, אבחנה מבדלת בין טרומבוס, ווגטציה וגרורה.  חדר ימין תקין. חדר שמ אל ברוחב תקין עם תפקוד גלובלי ירוד במדיה בינונית ובאופן דיפוזי. אס""ק מיטרלית מינימלית.  אס""ק טריקוןספידלי בינונית. יל""ד ריאתי בינוני. נוזל פריקרדיאלי בכמות מינימלית. נוזל פלוירלי משמאל .",1,0.16
ProcedureSummary,"הגדלה בינונית של פרוזדור וחדר שמאל. חשד ל-PFO עם דלף משמאל לימין לפי צבע.  חדר שמאל היפרטרופי, התכווצותו ירודה במידה קשה, עם היפוקינזיה  דיפוזית ואקינזיה אינפריורית. הפרעה דיאסטולית עם סימנים של עליה של הלחץ הסוף דיאסטולי.  הסתיידויות במסתם אאורטלי ובטבעת המינטרלית.   חשד להצרות קלה של המסתם האאורטלי. אי ספיקה אאורטלית מינימלית.  אי ספיקה בינונית של המסתמים מיטרלי וטריקוספידלי.  ירידה בשינונים הנשימתיים של IVC.  עליה קשה של הלחץ הריאתי.  תמונה מתאימה לקרדיומיופתיה איסכמית  ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, היפרטרופי במידה קלה, התכווצותו הגלובלית ואיזורית תקינה, השטחה סיסטולית ודיאסטולית של הספטום הבין חדרי כביטוי למעמס של חדר ימין.  חדר ימני מורחב  ותפקודו מופחת במידה קלה עד בינונית.  הרחבה בינונית של העלייה השמאלית והרחבה קלה של העלייה הימנית.  מסתם אורטלי סקלרוטי עם אי ספיקה אורטלית מינימלית, אי ספיקה מיטרלית קלה עד בינונית, אי ספיקה טריקוספידלית קשה, לחץ דם ריאתי מוגבר במידה קשה, לחץ ורידי סיסטמי מוגבר.     ",1,0.16
ProcedureSummary,"בדיקה בשכיבה על הגב.  פרפור פרוזדורים  חדר שמאל מורחב התכווצותו הגלובלית מופחתת במידה קשה, ראה פיזור אזורי. חדר ימין בגודל תקין. עליה שמאלית מורחבת במידה בינונית. מסתם אורטלי מסויד .הסתידות טבעת מסתם מיטרלי. אין סיגנל דופלר מספיק להערכת עדות ליתר לחץ דם ריאתי.",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, התכווצותו הגלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסויד, אי ספיקה מיטרלית קלה, אי ספיקה טריקוספידלית קלה-בינונית, לחץ דם ריאתי מוגבר במידה בינונית, הגדלה קלה של העליה השמאלית.  הודגם נוזל פריקרדיאלי בכמוות קטנה.  מחיצה בין עליתית אנאוריזמטית, הודגם ASD עם דלף קטן משמאל לימין ",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, תפקודו הסיסטולי הגלובלי תקין ללא הפרעה אזורית, תבנית המילוי הדיאסטולי פסאודונורמלית (הפרעה דיאסטולית דרגה II) ,עליה שמאל מורחבת  במידה קלה.   חדר ימין בגודל ותפקוד תקינים, ל""ד ריאתי מוערך מוגבר במידה קשה.   מסתם אאורטלי מסוייד עם דלף מינימלי , ללא הצרות, דלף מיטראלי וטריקוספידלי קל. ",1,0.16
ProcedureSummary,"חדר שמאלי תקין עם תפקוד גלובלי ואיזורי תקין  .חדר ימין בגודל ותפקוד תקין. עליה שמאלית תקינה. מבנה ותפקוד המסתמים תקין, דלף טריקוספיד מינימלי. לחץ דם ריאתי מעט מוגבר. ",1,0.16
ProcedureSummary,"בדיקה בוצעה על הגב.  חדר שמאל בגודל תקין, ספטום הפרטרופי במקצת, התכווצות גלובלית תקינה-ערה EF-65% . עליה שמאלית מורחבת במידה קלה. חללי הלב ימניים תקינים. חדר ימין מתכווץ היטב. טבעת מסתם מיטרלי מעט מסוידת. מסתם אורטלי מסויד במידה קלה ללא הצרות. אי ספיקה מיטרלית קלה+. אי ספיקה טריקוספידלית מינימלית. לחץ דם ריאתי 37 ממ""כ מודבר במידה קלה. תפליט פריקרדיאלי קטן ללא סימני לחץ.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, ההתכווצותו הגלובלית שמורה, אקינזיה אינפרו-פוסטריורית, תבנית המילוי תקינה, תדר ימני בגודל והתכווצות תקינה, עליה שמאלית מורחבת במידה קלה, אי ספיקה מיטרלית קלה, מסתם אורטלי מסויד ללא הצרות, אי ספיקה טריקוספידלית מינימלית, לחץ דם ריאתי מוגבר במידה קלה.",1,0.16
ProcedureSummary,"החדר השמאלי בגבול עליון של הנורמה ברוחבו, עובי דופנותיו בגבול עליון של הנורמה. התכווצותו תקינה - הפרדינמית.   הפרוזדור השמאלי מורחב במידה בינונית.  החדר הימני תקין.  מסתם אאורטלי עם הסתיידות נקודתית בעלה, פתיחתו טובה. מפל לחצים קצת מוגבר (22 ממ""כ) עקב לב הפרדינמי, אי ספיקה אאורטלית קלה.  הסתיידות קלה בטבעת המיטרלית. אי ספיקה קלה מיטרלית וטריקוספידלית.  הלחץ הריאתי מוגבר במידה קלה.   לא נמצאו וגטציות.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, הפרטרופי, התכוצותו מופחתת  במידה קלה בינונית, הודגמה הפרעה בתנועת המחיצה הבין חדרית. האם לנבדק יש LBBB? (הבדיקה בוצעה במכשיר ללא א.ק.ג.). האם סיבה נוספת?.  חדר ימין תקין בגודלו ותפקודו, עליות בגודל תקין הסתיידות קלה של מסתם אורטלי, ללא הגבלה בפתיחת המסתם, הסתיידות של טבעת מסתם מיטרלי, אי ספיקה אורטלית ומיטרלית מינימלית",1,0.16
ProcedureSummary,"חדר שמאל מורחב, היפרטרופיה קלה של הספטום, התכווצותו הגלובלית שמורה ללא הפרעה אזורית, חדר ימין מורחב עם תפקוד ירוד במידה קלה, הרחבה בינונית של עליה שמאלית, הרחבה של עליה ימנית, מסתם אאורלטי מעובה עם דלף מינימלי, אי ספיקה מיטרלית קלה עד בינונית, אי ספיקה טריקוספדילית קלה עד בינונית, לחץ דם ריאתי מוגבר במידה קשה. הפרעה דיסאטולית דרגה II.",1,0.16
ProcedureSummary,"התרחבות בינונית של פרוזדור שמאל וקלה של ימין. spontaneus contrast  קל בעליה השמאלית.   החולה עם CAVB  עם קצב פרוזדורי מהיר.    היפרטרופיה קלה של המחיצה הבין חדרית. התכווצות תקינה של חדר שמאל. הזרימה הדיאסטולית המיטרלית מתאימה להפרעה רסטריקטיבית.  חדר ימין מעט מורחב, התכווצותו שמורה.  הסתיידויות קלות במסתם אאורטלי ובטבעת המיטרלית.  אי ספיקה קלה של המסתמים אאורטלי ומיטרלי ובינונית של הטריקוספידי.  התרחבות קלה של הסינוס הקורונרי וגם של IVC. ירידה בשינוים הנשימתיים ב-IVC.  עליה קשה של הלחץ הריאתי.  פלקים אתרוסקלרותים מורלים באאורטה היורדת.  לא נצפה תרומבוס בחללי הלב ולא נצפה מעבר על פי צבע בין הפרוזדורים.  לא נצפתה הפרעה בחיבור של כלי דם הגדולים בלב.  בבדיקת אקו ב-2004 לא היו הסימנים של עומס על החדר הימני ",1,0.16
ProcedureSummary,"חדר  שמאלי ברוחב תקין,  היפרטרופיה קלה,  תפקודו הגלובלי והאזורי  תקין.  חדר ימין ברוחב ותפקוד תקין.פרוזדור שמאלי מורחב בינונית.  מסתם אאורטלי מעט מסויד, דלף קל. האאוטה העולה מעט מורחבת.  אנולוס מיטרלי מעט מסויד, מסתם מיטרלי מעט מעובה, דלף מיטרלי קל.  הודגם דלף טריקוספידלי קל, לחץ ריאתי מעט מוגבר.",1,0.16
ProcedureSummary,"חדר שמאלי בגודל  תקין, דפנותיו מעובות , התכווצות גלובלית תקינה, חדר ימני בגודל והתכווצות תקינה, הגדלה קלה של עליה ימנית,  מסתם אורטלי מסויד עם הצירות קלה ודלף מינימלי, הסתיידות של טבעת מסתם מיטרלי , דלף מיטרלי מינימלי,לא ניתן להדגים לח""ד ריאתי, עליה שמאלית מורחבת במידה בינונית",1,0.16
ProcedureSummary,"חדר שמאלי תקין בגודלו, דופנותיו תקינים בעובים, תפקוד הגלובלי מופחת במידה עד בינונית עקב  אקינזיה אינפריורית ואחורית. (ראה פיזור אזורי). תבנית מלוי פסאודונורמלית עם לחצי מלוי מוגברים. עליה שמאל מורחבת במידה בינונית.   חדר ימני תקין בגודלו ובתפקודו עם עדות ליל""ד ריאתי מוגבר במידה קשה.   מסתם האאורטלי מסויד ללא הצרות או דלף  אי ספיקה מיטרלית מינימלית.   אי ספיקה טריקוספידאלית מינימלית.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, היפרטרופי, תפקודו הגלובלי מופחתת במידה קלה, היפוקינזיה פוסטריורית ואקינזיה אינפריורית. חדר ימין בגודל ותפקוד תקין. עליה שמאלית מורחבת במידה קלה. התרחבות  קלה של שורש האורטה. האאורטה העולה ברוחב תקין. מסתם אורטלי מסוייד, פתיחה מוגבלת, שטח המסתם והמפל על פניו מתאימים להיצרות בחומרה קשה ,דלף אורטלי קל. אי ספיקה מיטרלית קלה. אי ספיקה טריקוספידלית קלה. לחץ דם ריאתי מוגבר במידה קלה. ",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין, התכווצותו הגלובלית שמורה, ,חדר ימני בגודל תקין, התכווצותו מופחתת במידה קלה, שורש האורטה והמסתם האורטלי מסויידים,  ללא הצרות, אי ספיקה מיטרלית קלה עד בינונית, אי ספיקה טריקוספידלית בינונית עד קשה, לחץ דם ריאתי מוגבר במידה קלה, הגדלה קלה של העליה השמאלית.  הודגם תפליט פלאורלי משמאל.",1,0.16
ProcedureSummary,"חדר שמאל תקין בגודלו ותיפקודו היפרדינמי, דפנותיו מעובים מעט, עליה שמאלית מורחבת, הפרעה ברקלסציה של חדר שמאל. חדר ימין תקין. אי ספיקה טריקוספידלית קלה, נודליפה מיטרלית טריויאלית. נוזל פריקרדיאלי בכמות קטנה.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, הפרטרופיה קלה , התכווצות גלובלית תקינה, תבנית המילוי פסאודונורמאלית, עליה שמאלית מורחבת במידה קלה, חדר ימין בגודל ותפקוד תקין,  מסתם אאורטלי מסויד, אי ספיקה מיטרלית קלה, אי ספיקה טריקוספידלית מנימלית, לא הודגמה עקומת TR להערכת לחץ דם ראתי , תפליט פלאורלי מימין. ",1,0.16
ProcedureSummary,"הדמיה קשה טכנית, חדר שמאל בגודל תקין, תפקודו הגלובלי תקין, אקינזיה אינפריורית וספטלי בזלי, חדר ימין תקין. עליה שמאלית תקינה. מסתם אורטלי מעובה, דלף מיטרלי וטריקוספיד מינימלי. לא ניתן להעריך לחץ דם ריאתי בשל סיגנל TR קלוש.",1,0.16
ProcedureSummary,"חדר שמאלי בגודל תקין ,דפנותיו מעובים במידה קלה,  התכווצות גלובלית ואיזורית תקינה, תבנית המילוי מתאימה להפרעה ברילקסציה,     חדר ימני בגודל והתכווצות תקינה, דלף מיטרלי וטריקוספידלי מינימלי,    לחץ דם ריאתי תקין , עליות בגודל תקין.",1,0.16
ProcedureSummary,"מונשמת,  חדר שמאלי תקין  בגודלו והתכווצותו גלובלית ירודה במידה בינונית עד קשה , אקינזיה אפיקלית, ספטלית. ספטום מעובה בבסיסו, תבנית המילוי פסאודו-תקינה, חדר ימני מורחב במידה קלה  והתכווצותו ירודה במידה בינונית , אלקטרודות קוצב בחללים ימניים. הסתיידות טבעת מיטרלית, אי ספיקה מיטרלית קלה עד בינונית, מסתם אאורטלי מסוייד עם היצרות קלה , אי ספיקה טריקוספידלית בינונית , יתר לחץ דם ריאתי בינוני, עליות מורחבות. תפליט פלאורלי מימין.  Regional LV dysfunction.",1,0.16
