column,dtype,vtype,n_missing,pct_missing,n_unique,clinical_axis,proposed_status,sample_or_top_levels
LeftVentricleEndDiastolicDiameter,float64,continuous,8,1.2,247,Echo: LV structure / mass,Sensitivity,"min=3.09999990463257, max=8.69999980926513, median=5.13000011444092"
LeftVentricleEndSystolicDiameter,float64,continuous,9,1.4,272,Echo: LV structure / mass,Sensitivity,"min=1.53999996185303, max=8.10000038146972, median=3.5"
LeftVentricleInterventricularSeptumThickness,float64,continuous,8,1.2,118,Echo: LV structure / mass,Sensitivity,"min=0.46000000834465, max=10.0, median=1.16999995708466"
LeftVentriclePosteriorWallThickness,float64,continuous,10,1.6,102,Echo: LV structure / mass,Sensitivity,"min=0.52999997138977, max=10.0, median=1.0"
LeftVentricleEstimatedMass,float64,continuous,11,1.7,567,Echo: LV structure / mass,Sensitivity (use LVMI instead),"min=78.7604064941406, max=3318.68920898437, median=219.449676513671"
LeftVentricleEstimatedMassIndex,float64,continuous,62,9.6,151,Echo: LV structure / mass,Candidate (LVMI),"min=23.0, max=1881.0, median=114.0"
LeftVentricleScoreIndex,float64,continuous,5,0.8,45,Echo: LV systolic (other),Sensitivity (overlap with EF),"min=1.0, max=2.88000011444092, median=1.0"
EstimatedSysPAPressure,float64,continuous,108,16.7,77,Echo: Right-heart / congestion,Candidate (numeric SPAP),"min=19.0, max=105.0, median=49.0"
MitralInflowPeakEWave,float64,continuous,63,9.8,302,Echo: LV diastolic / filling,Candidate,"min=38.0, max=230.0, median=104.0"
TissueDopplerSVelocitySeptal,float64,continuous,204,31.6,201,Echo: LV systolic (other),Sensitivity (>30% effective miss),"min=2.0, max=13.5, median=5.69000005722045"
TissueDopplerEVelositySeptal,float64,continuous,114,17.7,245,Echo: LV diastolic / filling,Candidate (was previously OMITTED),"min=2.0, max=16.0, median=5.0"
TissueDopplerEERatioSeptal,float64,continuous,122,18.9,474,Echo: LV diastolic / filling,Candidate,"min=4.30999994277954, max=66.9599990844727, median=19.7199993133545"
TissueDopplerSVelocityLateral,float64,continuous,131,20.3,233,Echo: LV systolic (other),Sensitivity (~20% miss),"min=2.0, max=14.0, median=6.490000009536745"
TissueDopplerEVelosityLateral,float64,continuous,114,17.7,256,Echo: LV diastolic / filling,Candidate (was previously OMITTED),"min=2.0, max=70.0, median=7.0"
TissueDopplerEERatioLateral,float64,continuous,122,18.9,452,Echo: LV diastolic / filling,Candidate,"min=1.24000000953674, max=45.0800018310546, median=14.25"
