outcome,model,predictor,type,term,level,reference_level,contrast,effect_label,effect,ci_lower,ci_upper,beta,se,pvalue,qvalue,n,events,person_years,n_nonmissing,level_count,ref_count,mean,sd,status
hospitalization,negbin,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),IRR,0.8032167562179257,0.5783856752294884,1.1154445642404007,-0.21913066843717055,0.1675457859420347,0.19091222038646138,0.2905185962402673,599,1079,1495.6495550992472,599,93.0,197.0,,,ok
one_year_mortality,logistic,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),OR,0.8033031000406119,0.5098821240990224,1.2655785328326918,-0.2190231766779706,0.23191881896979968,0.3449673870644221,0.5030774394689489,571,221,,571,132.0,221.0,,,ok
one_year_mortality,logistic,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),OR,1.3812789620018535,0.8789313053805924,2.170740260574461,0.32300985402924404,0.23064627351382136,0.16137694501081468,0.2748745436300369,571,221,,571,119.0,221.0,,,ok
one_year_mortality,logistic,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),OR,1.175321977565434,0.7245240529894201,1.9066057852029574,0.16154213351849506,0.246832317161798,0.5128148235679769,0.5982839608293063,571,221,,571,99.0,221.0,,,ok
survival,cox,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),HR,0.8406952678323985,0.6585460209219957,1.0732257289570726,-0.173526029698885,0.1245914950290838,0.1636924287857442,0.22035519259619413,596,471,,596,136.0,229.0,,,ok
survival,cox,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),HR,1.3076487842814042,1.0237457847992053,1.6702831585949032,0.26823070343246314,0.12488110322368492,0.03172260274773477,0.06391759327011384,596,471,,596,125.0,229.0,,,ok
survival,cox,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),HR,1.1638929769407431,0.902168930901965,1.5015445726086403,0.15177040087313454,0.12996355776115295,0.2428906825887468,0.30361335323593347,596,471,,596,106.0,229.0,,,ok
hospitalization,negbin,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),IRR,0.8526323780099034,0.6490074822166857,1.1201442078106947,-0.1594267997564322,0.13922920824121168,0.2521813210047652,0.3530538494066712,596,1100,1502.710472279261,596,136.0,229.0,,,ok
hospitalization,negbin,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),IRR,1.0784760390530734,0.8042391852831603,1.4462246904844518,0.07554896968147382,0.14970046996186,0.6137923551264735,0.6713353884195803,596,1100,1502.710472279261,596,125.0,229.0,,,ok
hospitalization,negbin,mitral_regurgitation_clin_grouped,categorical,mitral_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),IRR,0.997893253999529,0.7362780773803949,1.352465837256346,-0.002108968311604913,0.15512450390370444,0.9891528328707099,0.9891528328707099,596,1100,1502.710472279261,596,106.0,229.0,,,ok
one_year_mortality,logistic,days_echo_to_dialysis,continuous,days_echo_to_dialysis__z,,,per 1 SD,OR,0.8992664460036648,0.7651648252600557,1.056870512354272,-0.10617590799575087,0.08239340303448248,0.1975212733531142,0.31423838942540894,617,239,,617,,,-116.00486223662885,124.26318546550527,ok
survival,cox,days_echo_to_dialysis,continuous,days_echo_to_dialysis__z,,,per 1 SD,HR,0.9146311733196842,0.8389987270842798,0.9970815880917403,-0.08923438423703742,0.04403739361635546,0.04273076401510003,0.07477883702642504,644,505,,644,,,-117.48913043478261,125.05197006060699,ok
hospitalization,negbin,days_echo_to_dialysis,continuous,days_echo_to_dialysis__z,,,per 1 SD,IRR,0.9392775108428237,0.8494404531770726,1.0386157606166897,-0.06264430473308169,0.05129335676872058,0.22197445964426632,0.3237127536478884,644,1177,1623.4880219028064,644,,,-117.48913043478261,125.05197006060699,ok
