outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,TissueDopplerEVelositySeptal,main_candidate,TissueDopplerEVelositySeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,530,986,IRR,0.793492789278508,0.6985406105021951,0.901351757035761,0.00037492159845117735,-0.23131082629261718,-0.3587619623871937,-0.10385969019804067,1.0,0.0025619642560830453,0.23131082629261718
hospitalization_negative_binomial,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.9785072816962302,0.8829435355896595,1.0844141915520231,0.6785982783547083,-0.02172705048107383,-0.12449402652739212,0.08103992556524446,1.0,0.7321718266458696,0.02172705048107383
hospitalization_negative_binomial,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.8364995719338117,0.7553069965830058,0.9264200345171196,0.0006101057038235216,-0.17852927029022286,-0.2806309943890683,-0.07642754619137744,1.0,0.0027793704285293762,0.17852927029022286
hospitalization_negative_binomial,crp-numeric result,main_candidate,crp-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,619,1137,IRR,0.9157274246567468,0.8201545702893027,1.0224374119779445,0.11748752618475587,-0.088036529926571,-0.1982624561349892,0.022189396281847185,1.0,0.20070785723229126,0.088036529926571
hospitalization_negative_binomial,days_echo_to_dialysis,main_candidate,days_echo_to_dialysis__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,0.9392775108428236,0.8494404531770726,1.0386157606166895,0.22197445964426543,-0.06264430473308175,-0.1631774366459378,0.037888827179774306,1.0,0.33707232760795863,0.06264430473308175
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__same_day,same_day vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.40605751853757743,0.16292608748278795,1.0120092546769945,0.05307103108203019,-0.9012604581400105,-1.8144586320412217,0.011937715761200729,1.0,0.12510582309253568,0.9012604581400105
hospitalization_negative_binomial,hb-numeric result,main_candidate,hb-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,578,1095,IRR,0.9588853494231295,0.8625431260028033,1.0659885698692926,0.43708657667026485,-0.04198376346343509,-0.14787013016396827,0.0639026032370981,1.0,0.5780822465638986,0.04198376346343509
hospitalization_negative_binomial,m/f,main_candidate,m/f__level__f,f vs m,categorical,categorical_dummy_vs_reference,m,643,1177,IRR,1.0957637633800346,0.8797593143416035,1.3648030837108647,0.4142862549657166,0.09145162093151701,-0.12810691534958596,0.31101015721262,1.0,0.5661912151198127,0.09145162093151701
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),596,1100,IRR,0.8526323780099033,0.6490074822166856,1.1201442078106945,0.25218132100476487,-0.15942679975643237,-0.43231103350523464,0.1134574339923699,1.0,0.36926550575697714,0.15942679975643237
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),599,1079,IRR,0.4868506172756897,0.3723725728950204,0.6365225067436477,1.418231132936102e-07,-0.7197979436611033,-0.987860385875215,-0.4517355014469916,1.0,1.9382492150126727e-06,0.7197979436611033
one_year_mortality_logistic,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,1.7177333491063156,1.2389164157730344,2.3816036506312157,0.0011746597982504263,0.5410056014495623,0.214237139332694,0.8677740635664306,,0.006880150246895354,0.5410056014495623
one_year_mortality_logistic,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,617,239,OR,1.6039356602924233,1.339970004231572,1.9199008890001217,2.6073723341551234e-07,0.4724603966026709,0.2926472288104625,0.6522735643948794,,1.0690226570036007e-05,0.4724603966026709
one_year_mortality_logistic,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,1.3231740167782562,0.8911906428122576,1.9645510113888558,0.16492472340698128,0.2800334084396032,-0.115196909401651,0.6752637262808574,,0.3073597118039197,0.2800334084396032
one_year_mortality_logistic,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,0.8539598332702085,0.547867764884422,1.3310646173766476,0.48572085599999093,-0.15787111994112563,-0.601721326108281,0.2859790862260298,,0.673127118958319,0.15787111994112563
one_year_mortality_logistic,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,1.1465753424657465,0.8206104432541073,1.6020208209114377,0.4228557589342582,0.13677953634703244,-0.1977067726912637,0.47126584538532856,,0.6421143006038735,0.13677953634703244
one_year_mortality_logistic,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Mildly_increased,Mildly increased vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,501,212,OR,0.6296805221573446,0.38901447378774884,1.019236009713819,0.05977872465073864,-0.4625426959059018,-0.9441387283752911,0.019053336563487455,,0.15318298191751778,0.4625426959059018
one_year_mortality_logistic,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,512,216,OR,1.1896307060868814,0.9972408866557475,1.419136776080976,0.05369780098202993,0.1736429279413752,-0.002762926713436087,0.3500487825961865,,0.15318298191751778,0.1736429279413752
one_year_mortality_logistic,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference,HD,617,239,OR,0.8019771393266,0.5333984262709951,1.205791581536675,0.2888822217425815,-0.22067517610218507,-0.628486617611663,0.18713626540729295,,0.49350712881024333,0.22067517610218507
one_year_mortality_logistic,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,2.2056347907410774,1.4399216186927313,3.3785344750529465,0.0002772213934758945,0.7910153544247154,0.3645886806430823,1.2174420282063485,,0.001894346188751946,0.7910153544247154
one_year_mortality_logistic,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,0.9491850431447791,0.6800030856431314,1.324923761599782,0.7592345625324497,-0.05215151187213211,-0.38565794311179274,0.2813549193675285,,0.9002119142442206,0.05215151187213211
one_year_mortality_logistic,LACavitySize,main_candidate,LACavitySize__level__Severely_dilated,Severely dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,578,229,OR,2.087221095334669,1.0580362925810531,4.11752595951364,0.033778415809076874,0.7358335617913515,0.05641463585443951,1.4152524877282635,,0.1259013680156502,0.7358335617913515
one_year_mortality_logistic,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,613,237,OR,0.7121986178786578,0.6046027088082695,0.8389424392557945,4.876495914653298e-05,-0.3393984487768805,-0.5031837163155731,-0.1756131812381879,,0.0003998726650015705,0.3393984487768805
