dataset,variable,role,n,n_missing,pct_missing,n_nonmissing,n_unique_nonmissing
analysis_base,TissueDopplerEVelosityLateral,main_predictor,644,114,17.7,530,254
analysis_base,TissueDopplerEVelositySeptal,main_predictor,644,114,17.7,530,244
analysis_base,LACavitySize,main_predictor,644,43,6.68,601,4
analysis_base,ECHO_SPAP,main_predictor,644,119,18.48,525,4
analysis_base,EstimatedSysPAPressure,main_predictor,644,108,16.77,536,77
analysis_base,tricuspid_regurgitation_clin_grouped,main_predictor,644,45,6.99,599,4
analysis_base,mitral_regurgitation_clin_grouped,main_predictor,644,48,7.45,596,4
analysis_base,days_echo_to_dialysis,main_predictor,644,0,0.0,644,296
analysis_base,BMI,sensitivity_exploratory_predictor,644,125,19.41,519,469
analysis_base,DYSLIPIDEMIA_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
analysis_base,OncologicalDiagnosis_binary,sensitivity_exploratory_predictor,644,0,0.0,644,2
analysis_base,Weight,sensitivity_exploratory_predictor,644,90,13.98,554,232
analysis_base,LeftVentricleScoreIndex,sensitivity_exploratory_predictor,644,5,0.78,639,45
analysis_base,LeftVentricleSystolicFunction,sensitivity_exploratory_predictor,644,75,11.65,569,7
analysis_base,TissueDopplerSVelocityLateral,sensitivity_exploratory_predictor,644,131,20.34,513,232
analysis_base,TissueDopplerSVelocitySeptal,sensitivity_exploratory_predictor,644,203,31.52,441,201
analysis_base,lv_cavity_size_clin_grouped,sensitivity_exploratory_predictor,644,74,11.49,570,4
analysis_base,LeftVentricleEndDiastolicDiameter,sensitivity_exploratory_predictor,644,8,1.24,636,246
analysis_base,LeftVentricleEndSystolicDiameter,sensitivity_exploratory_predictor,644,9,1.4,635,272
analysis_base,LeftVentricleEstimatedMass,sensitivity_exploratory_predictor,644,16,2.48,628,561
analysis_base,LeftVentricleInterventricularSeptumThickness,sensitivity_exploratory_predictor,644,8,1.24,636,117
analysis_base,LeftVentriclePosteriorWallThickness,sensitivity_exploratory_predictor,644,13,2.02,631,99
analysis_base,lv_wall_thickness_clin_grouped,sensitivity_exploratory_predictor,644,243,37.73,401,3
analysis_base,rv_size_clin_grouped,sensitivity_exploratory_predictor,644,345,53.57,299,4
analysis_base,RVSystolicFunction,sensitivity_exploratory_predictor,644,341,52.95,303,4
analysis_base,aortic_regurgitation_clin_grouped,sensitivity_exploratory_predictor,644,342,53.11,302,3
analysis_base,aortic_valve_structure_clin_grouped,sensitivity_exploratory_predictor,644,195,30.28,449,5
analysis_base,GFR,sensitivity_exploratory_predictor,644,1,0.16,643,615
analysis_base,ca-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,58
analysis_base,dbp-numeric result,sensitivity_exploratory_predictor,644,137,21.27,507,77
analysis_base,hba1c-numeric result,sensitivity_exploratory_predictor,644,64,9.94,580,71
analysis_base,k-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,69
analysis_base,na-numeric result,sensitivity_exploratory_predictor,644,3,0.47,641,56
analysis_base,p-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,129
analysis_base,sbp-numeric result,sensitivity_exploratory_predictor,644,164,25.47,480,115
analysis_base,ua-numeric result,sensitivity_exploratory_predictor,644,1,0.16,643,148
analysis_base,urea-numeric result,sensitivity_exploratory_predictor,644,4,0.62,640,267
analysis_base,years_since_MI,sensitivity_exploratory_predictor,644,516,80.12,128,117
analysis_base,died_1year,outcome_or_denominator,644,27,4.19,617,2
analysis_base,event,outcome_or_denominator,644,0,0.0,644,2
analysis_base,time_to_event_days,outcome_or_denominator,644,0,0.0,644,511
analysis_base,hosp_total,outcome_or_denominator,644,0,0.0,644,11
analysis_base,followup_days,outcome_or_denominator,644,0,0.0,644,511
one_year_mortality,AFIB_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,AgeAtFirstHFDate,main_predictor,617,0,0.0,617,408
one_year_mortality,CABG_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,COPD_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,Diabetes mellitus_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,HD/PD,main_predictor,617,0,0.0,617,2
one_year_mortality,HTN_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,IHD_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,MI_binary,main_predictor,617,0,0.0,617,2
one_year_mortality,albumin-numeric result,main_predictor,617,1,0.16,616,39
one_year_mortality,creatinine-numeric result,main_predictor,617,1,0.16,616,415
one_year_mortality,crp-numeric result,main_predictor,617,25,4.05,592,570
one_year_mortality,hb-numeric result,main_predictor,617,66,10.7,551,103
one_year_mortality,m/f,main_predictor,617,1,0.16,616,2
one_year_mortality,LV_EF,main_predictor,617,4,0.65,613,35
one_year_mortality,LeftVentricleEstimatedMassIndex,main_predictor,617,61,9.89,556,145
one_year_mortality,MitralInflowPeakEWave,main_predictor,617,59,9.56,558,297
one_year_mortality,TissueDopplerEERatioLateral,main_predictor,617,116,18.8,501,434
one_year_mortality,TissueDopplerEERatioSeptal,main_predictor,617,116,18.8,501,455
one_year_mortality,TissueDopplerEVelosityLateral,main_predictor,617,108,17.5,509,241
one_year_mortality,TissueDopplerEVelositySeptal,main_predictor,617,108,17.5,509,235
one_year_mortality,LACavitySize,main_predictor,617,39,6.32,578,4
one_year_mortality,ECHO_SPAP,main_predictor,617,116,18.8,501,4
one_year_mortality,EstimatedSysPAPressure,main_predictor,617,105,17.02,512,77
one_year_mortality,tricuspid_regurgitation_clin_grouped,main_predictor,617,44,7.13,573,4
one_year_mortality,mitral_regurgitation_clin_grouped,main_predictor,617,46,7.46,571,4
one_year_mortality,days_echo_to_dialysis,main_predictor,617,0,0.0,617,293
one_year_mortality,BMI,sensitivity_exploratory_predictor,617,117,18.96,500,455
one_year_mortality,DYSLIPIDEMIA_binary,sensitivity_exploratory_predictor,617,0,0.0,617,2
one_year_mortality,OncologicalDiagnosis_binary,sensitivity_exploratory_predictor,617,0,0.0,617,2
one_year_mortality,Weight,sensitivity_exploratory_predictor,617,85,13.78,532,224
one_year_mortality,LeftVentricleScoreIndex,sensitivity_exploratory_predictor,617,4,0.65,613,44
one_year_mortality,LeftVentricleSystolicFunction,sensitivity_exploratory_predictor,617,69,11.18,548,7
one_year_mortality,TissueDopplerSVelocityLateral,sensitivity_exploratory_predictor,617,121,19.61,496,223
one_year_mortality,TissueDopplerSVelocitySeptal,sensitivity_exploratory_predictor,617,178,28.85,439,200
one_year_mortality,lv_cavity_size_clin_grouped,sensitivity_exploratory_predictor,617,68,11.02,549,4
one_year_mortality,LeftVentricleEndDiastolicDiameter,sensitivity_exploratory_predictor,617,7,1.13,610,240
one_year_mortality,LeftVentricleEndSystolicDiameter,sensitivity_exploratory_predictor,617,8,1.3,609,266
one_year_mortality,LeftVentricleEstimatedMass,sensitivity_exploratory_predictor,617,15,2.43,602,539
one_year_mortality,LeftVentricleInterventricularSeptumThickness,sensitivity_exploratory_predictor,617,7,1.13,610,115
one_year_mortality,LeftVentriclePosteriorWallThickness,sensitivity_exploratory_predictor,617,12,1.94,605,98
one_year_mortality,lv_wall_thickness_clin_grouped,sensitivity_exploratory_predictor,617,230,37.28,387,3
one_year_mortality,rv_size_clin_grouped,sensitivity_exploratory_predictor,617,326,52.84,291,4
one_year_mortality,RVSystolicFunction,sensitivity_exploratory_predictor,617,322,52.19,295,4
one_year_mortality,aortic_regurgitation_clin_grouped,sensitivity_exploratory_predictor,617,328,53.16,289,3
one_year_mortality,aortic_valve_structure_clin_grouped,sensitivity_exploratory_predictor,617,185,29.98,432,5
one_year_mortality,GFR,sensitivity_exploratory_predictor,617,1,0.16,616,590
one_year_mortality,ca-numeric result,sensitivity_exploratory_predictor,617,1,0.16,616,57
