var,beta,se,est,CIlo,CIhi,p
EeRatio_avg,0.222275739827083,0.06287350559254828,1.2489157061904514,1.1041145139345543,1.4127071254690975,0.0004073360954173211
TissueDopplerEERatioLateral,0.20037517102637956,0.06122791780754751,1.2218610790555562,1.0836862806364125,1.3776537759932255,0.0010655893788569237
TissueDopplerEERatioSeptal,0.20630682932199687,0.06837757574021651,1.2291302793537253,1.074963578855403,1.4054069117697843,0.0025514595073063973
MitralInflowPeakEWave,0.19828304122684332,0.07319631708532189,1.2193074592646354,1.056348616156532,1.4074053371013993,0.006750240853346856
TricuspidRegurgitation_ord,0.16391631267245205,0.07198595076354901,1.1781157176111507,1.0230863061775926,1.3566369090287755,0.022782656487093433
LeftVentricleSystolicFunction_ord,-0.4643070830863597,0.20428870194585091,0.6285705014573763,0.42117243749892125,0.9380976534187127,0.02303831730015582
LV_EF,-0.105651294953332,0.07243752622888816,0.8997383366790266,0.7806496304658695,1.0369941173312762,0.14469835321248525
RVSystolicFunction_ord,0.1281147433108954,0.11447343519926041,1.136683422033828,0.9082340314715914,1.4225950109280259,0.2630694513749381
TissueDopplerSVelocitySeptal,-0.06655274784148905,0.07806076579859,0.9356135629587988,0.8028785283201845,1.0902928753418641,0.39389438851775616
