var,IRR,CIlo,CIhi,p
(Intercept),0.8676190886636532,0.7623265801624088,0.9874545930868327,0.03145895209686236
AgeAtFirstHFDate,1.436930582257081,1.1955136390431877,1.7270982369370398,0.0001120765583204798
sex_male,0.924624874624558,0.8111282759115293,1.0540024114110995,0.24086162058724248
HD_binary,1.0310695091385043,0.8954445921080073,1.1872363092532763,0.6706823055192535
IHD_binary,1.0675727167101972,0.9197481045878693,1.2391561339228692,0.3898618983101487
AFIB_binary,1.0150417794707478,0.8848435443592834,1.1643977295638084,0.8311996196818313
Diabetes mellitus_binary,1.073917380651727,0.9352394349607978,1.2331585873666768,0.312070608128889
HTN_binary,0.9397288315414438,0.8217901887453911,1.074593355973794,0.36360020915904967
COPD_binary,1.1610903461177313,1.0223266900126362,1.3186888350055008,0.021448704838238804
MI_binary,1.0159393734890496,0.8878434068806113,1.1625167260425624,0.8181130254785318
CABG_binary,1.0672769170132548,0.932123242320492,1.2220272662160139,0.34594047023526076
albumin-numeric result,1.024578064569066,0.8963574884382892,1.1711401131094195,0.7218765273788997
creatinine-numeric result,1.045207932704587,0.8571941798631421,1.274459916145273,0.6621060212838199
GFR,1.2364871776000759,0.9602933446496611,1.5921182302134798,0.0997992634475513
hb-numeric result,1.0030654638512435,0.8833814554610359,1.1389647343751481,0.9623423720599428
crp-numeric result,0.9688253323679921,0.8398072325111646,1.117664254725827,0.6640338436967508
LV_EF,0.9015214182300103,0.7845618796606503,1.035916845563523,0.14367170828825487
