outcome,model_tier,model_type,variable_or_term,effect_measure,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note
one_year_mortality,C_full,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0044865832309577,0.9827115810874443,1.0267440776208996,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_full,logistic,Q('albumin-numeric result'),OR,0.4540818083522896,0.322883844685187,0.6385896726345099,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_full,logistic,Q('creatinine-numeric result'),OR,0.8250799226443867,0.7480356291094281,0.9100594306735637,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,AFIB_binary,HR,1.2125280275956642,1.0098480990792558,1.4558865031736266,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,AgeAtFirstHFDate,HR,1.0395334627398034,1.0303670015198867,1.0487814716132962,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,EstimatedSysPAPressure,HR,1.002989271071146,0.9955267288620461,1.010507753050227,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,LACavitySize_Moderate_or_Severe,HR,1.1052733074153367,0.9027784527954854,1.3531881274990776,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,LACavitySize_Normal,HR,1.0053242492575432,0.7184272527224516,1.4067907951923075,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,LV_EF,HR,0.9843782122028222,0.9783756062948797,0.9904176457641263,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,TissueDopplerEERatioSeptal,HR,1.0158424933614376,1.0046560370895645,1.0271535064958615,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,albumin-numeric result,HR,0.7520999215510417,0.6352023611015924,0.89051037375885,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,creatinine-numeric result,HR,0.9245952952696045,0.8809137975292003,0.9704428088565044,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,m/f_m,HR,0.9691883094697931,0.7949536470975354,1.1816110066825904,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_full,cox,tricuspid_regurgitation_clin_grouped_None_Trace_Mild,HR,0.9223341254088223,0.764181261913964,1.1132178728944468,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,C(Q('m/f'))[T.m],IRR,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],IRR,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('AgeAtFirstHFDate'),IRR,,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('EstimatedSysPAPressure'),IRR,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('LV_EF'),IRR,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('albumin-numeric result'),IRR,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician
hospitalization,C_full,negative_binomial,Q('creatinine-numeric result'),IRR,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician
