outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note,relative_change_pct,ci_overlap,robustness_status
survival,C_lite,cox,LACavitySize_Normal,HR,1.2639200126519627,0.8448339341993647,1.8908968185517503,0.2544631855938725,415,340.0,consultation_only_not_final_stage5,1.012494911884217,0.7232480135551778,1.417419650490638,40,consultation_grade_approximation_confirm_with_biostatistician,94.69831779847222,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('m/f'))[T.m],IRR,1.256528683341315,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.1104809084540865,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.8082412637283732,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,1.251175157882712,,,,415,781.0,consultation_only_not_final_stage5,369686334.67913705,2.0132633480353663e-66,6.788380972705965e+82,40,consultation_grade_approximation_confirm_with_biostatistician,8703.945272306593,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0214303034852792,,,,415,781.0,consultation_only_not_final_stage5,,,,40,consultation_grade_approximation_confirm_with_biostatistician,,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('albumin-numeric result'),IRR,0.9343730114699186,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('creatinine-numeric result'),IRR,0.9453606669116041,,,,415,781.0,consultation_only_not_final_stage5,0.0,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('LV_EF'),IRR,0.99628144307861,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.033946736635214,,,,415,781.0,consultation_only_not_final_stage5,inf,,,40,consultation_grade_approximation_confirm_with_biostatistician,inf,True,not_robust_review
hospitalization,C_lite,negative_binomial,Q('EstimatedSysPAPressure'),IRR,1.003122619892587,,,,415,781.0,consultation_only_not_final_stage5,2.7943231906803854e-22,1.991864943718549e-149,3.92006602586074e+105,40,consultation_grade_approximation_confirm_with_biostatistician,1591927.7041766732,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('m/f'))[T.m],OR,0.794898178556342,0.4800336746554028,1.3162891431018455,0.37237835519213214,391,163.0,consultation_only_not_final_stage5,0.8737244171068469,0.5844052786673456,1.306275601735688,40,consultation_grade_approximation_confirm_with_biostatistician,41.19128244282688,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('AFIB_binary'))[T.1],OR,1.5120460790251835,0.9525367723791831,2.400204812445093,0.07947407440540127,391,163.0,consultation_only_not_final_stage5,1.225776929058102,0.8445944600979075,1.7789947137907278,40,consultation_grade_approximation_confirm_with_biostatistician,50.76355076736981,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],OR,1.1830742541273591,0.7475051568861113,1.8724482070593365,0.4729555265302138,391,163.0,consultation_only_not_final_stage5,1.0222026640530826,0.7054952184354294,1.4810848593906578,40,consultation_grade_approximation_confirm_with_biostatistician,86.9377526599198,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3575227376230306,0.8285790399189734,2.224130583056676,0.22494947942845134,391,163.0,consultation_only_not_final_stage5,1.2446448219460855,0.8349388810063744,1.855394170804433,40,consultation_grade_approximation_confirm_with_biostatistician,28.401126847773707,True,not_robust_review
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.4025993910613745,0.6227053671342979,3.15925501149801,0.41413256273428856,391,163.0,consultation_only_not_final_stage5,0.8539062755625204,0.4371338278687447,1.6680382092597825,40,consultation_grade_approximation_confirm_with_biostatistician,146.68079541882565,True,not_robust_review
one_year_mortality,C_full,logistic,Q('AgeAtFirstHFDate'),OR,1.0412266491992457,1.0191751044644697,1.0637553156995159,0.000216349514421123,391,163.0,consultation_only_not_final_stage5,1.0525829783225555,1.0339013673052484,1.0716021482224003,40,consultation_grade_approximation_confirm_with_biostatistician,26.85091970256942,True,not_robust_review
one_year_mortality,C_full,logistic,Q('albumin-numeric result'),OR,0.3842134602649086,0.24452264034680046,0.6037068094773093,3.3406472520662204e-05,391,163.0,consultation_only_not_final_stage5,0.4540818083522896,0.322883844685187,0.6385896726345099,40,consultation_grade_approximation_confirm_with_biostatistician,17.466715845430098,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('creatinine-numeric result'),OR,0.841070241713622,0.7383922677204245,0.9580262177989805,0.009173824871390726,391,163.0,consultation_only_not_final_stage5,0.8250799226443867,0.7480356291094281,0.9100594306735637,40,consultation_grade_approximation_confirm_with_biostatistician,11.090194929440452,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('LV_EF'),OR,0.9710108116534742,0.9558418137215958,0.9864205382236629,0.0002502642907873183,391,163.0,consultation_only_not_final_stage5,0.9741258930094084,0.9619177117794812,0.9864890144042975,40,consultation_grade_approximation_confirm_with_biostatistician,10.887828415479754,True,robust_by_DEC077
one_year_mortality,C_full,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0082864430674612,0.9833187618813787,1.0338880846008647,0.5188852170923408,391,163.0,consultation_only_not_final_stage5,1.0044865832309577,0.9827115810874443,1.0267440776208996,40,consultation_grade_approximation_confirm_with_biostatistician,45.75392233355612,True,not_robust_review
one_year_mortality,C_full,logistic,Q('EstimatedSysPAPressure'),OR,0.9937552286445392,0.9771191494506773,1.0106745477391852,0.4670562945764073,391,163.0,consultation_only_not_final_stage5,1.0009765349763742,0.9872859312070601,1.0148569850968248,40,consultation_grade_approximation_confirm_with_biostatistician,115.58115754743412,True,not_robust_review
