outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note
survival,C_minimal,cox,creatinine-numeric result,HR,0.922683281587444,0.8747312906988021,0.9732639579417074,0.003124685850445931,518,405.0,consultation_only_not_final_stage5
survival,C_minimal,cox,AFIB_binary,HR,1.2516633836594881,1.0188748272973476,1.5376385636591117,0.03251125325178605,518,405.0,consultation_only_not_final_stage5
survival,C_minimal,cox,LV_EF,HR,0.9815364495436691,0.9750023701411923,0.9881143177562508,4.536008675371677e-08,518,405.0,consultation_only_not_final_stage5
survival,C_minimal,cox,TissueDopplerEERatioSeptal,HR,1.018554919021078,1.007862854179678,1.0293604122422408,0.000638714035599331,518,405.0,consultation_only_not_final_stage5
survival,C_minimal,cox,m/f_m,HR,1.0129804187091103,0.8151647375828519,1.2587999472729774,0.9073787275565113,518,405.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,C(Q('m/f'))[T.m],IRR,0.9455815892626893,0.6800570511764366,1.3147787239405864,0.7393463944133545,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.0404140948950014,0.7728647437791909,1.4005833460109889,0.793922916528703,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0314494192449835,1.0181315021396449,1.0449415446089332,3.011499685857264e-06,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,Q('albumin-numeric result'),IRR,0.8564003031087601,0.6453301736981389,1.1365057904573403,0.2829525733618279,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,Q('creatinine-numeric result'),IRR,0.9613263274612547,0.8967260833736395,1.0305803801238131,0.26644438376659985,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,Q('LV_EF'),IRR,0.989167623931612,0.9785576288955021,0.9998926576648226,0.04775857331893771,518,955.0,consultation_only_not_final_stage5
hospitalization,C_minimal,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,1.0269010631165383,1.011327864824256,1.0427140694013481,0.0006622477700905909,518,955.0,consultation_only_not_final_stage5
