model_tier,variable,n_missing,missing_pct,n_total,n_complete_predictors_only,predictor_completecase_loss_pct
C_full_oneyear,albumin-numeric result,1,0.1620745542949757,617,391,36.6288492706645
C_full_oneyear,creatinine-numeric result,1,0.1620745542949757,617,391,36.6288492706645
C_full_oneyear,AFIB_binary,0,0.0,617,391,36.6288492706645
C_full_oneyear,LV_EF,4,0.6482982171799028,617,391,36.6288492706645
C_full_oneyear,TissueDopplerEERatioSeptal,116,18.80064829821718,617,391,36.6288492706645
C_full_oneyear,EstimatedSysPAPressure,105,17.01782820097245,617,391,36.6288492706645
C_full_oneyear,tricuspid_regurgitation_clin_grouped,44,7.13128038897893,617,391,36.6288492706645
C_full_oneyear,LACavitySize,39,6.3209076175040515,617,391,36.6288492706645
C_full_survival,AgeAtFirstHFDate,0,0.0,644,408,36.64596273291925
C_full_survival,m/f,1,0.15527950310559005,644,408,36.64596273291925
C_full_survival,albumin-numeric result,1,0.15527950310559005,644,408,36.64596273291925
C_full_survival,creatinine-numeric result,1,0.15527950310559005,644,408,36.64596273291925
C_full_survival,AFIB_binary,0,0.0,644,408,36.64596273291925
C_full_survival,LV_EF,4,0.6211180124223602,644,408,36.64596273291925
C_full_survival,TissueDopplerEERatioSeptal,122,18.944099378881987,644,408,36.64596273291925
C_full_survival,EstimatedSysPAPressure,108,16.77018633540373,644,408,36.64596273291925
C_full_survival,tricuspid_regurgitation_clin_grouped,45,6.987577639751552,644,408,36.64596273291925
C_full_survival,LACavitySize,43,6.6770186335403725,644,408,36.64596273291925
C_full_hosp,AgeAtFirstHFDate,0,0.0,644,408,36.64596273291925
C_full_hosp,m/f,1,0.15527950310559005,644,408,36.64596273291925
C_full_hosp,albumin-numeric result,1,0.15527950310559005,644,408,36.64596273291925
C_full_hosp,creatinine-numeric result,1,0.15527950310559005,644,408,36.64596273291925
C_full_hosp,AFIB_binary,0,0.0,644,408,36.64596273291925
C_full_hosp,LV_EF,4,0.6211180124223602,644,408,36.64596273291925
C_full_hosp,TissueDopplerEERatioSeptal,122,18.944099378881987,644,408,36.64596273291925
C_full_hosp,EstimatedSysPAPressure,108,16.77018633540373,644,408,36.64596273291925
C_full_hosp,tricuspid_regurgitation_clin_grouped,45,6.987577639751552,644,408,36.64596273291925
C_full_hosp,LACavitySize,43,6.6770186335403725,644,408,36.64596273291925
