outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,sample_label,section,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),IRR,cohort_label
one_year_mortality,logistic,C_minimal_primary_reference,LV_EF,-0.032982132380899615,0.007201276819926369,0.9675558473539249,0.9539952038590002,0.9813092497340646,4.648880933322275e-06,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.010511527817554822,0.011252244795939623,1.0105669680095133,0.9885234913776334,1.033102000852509,0.3502153694652339,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,LV_EF,-0.03008827554134713,0.008084585805344257,0.970359870724708,0.955104936181228,0.985858457058803,0.00019789839839079448,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,TissueDopplerEERatioSeptal,0.0054658545263330475,0.012356563933799164,1.0054808195623308,0.9814217328945632,1.0301297032886778,0.6582401429073892,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,EstimatedSysPAPressure,-0.005283730560305194,0.008549378408698856,0.9947302037914229,0.9782006051494581,1.0115391189967042,0.5365587844238504,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Moderately dilated,0.34564293295460213,0.2680342906471607,1.4128980264131745,0.8355172567897633,2.3892754061267185,0.19720783533024377,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Normal,0.2796203703851494,0.40799327015510456,1.3226276084081554,0.5944929396008642,2.9425812721980624,0.49311971232271423,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Severely dilated,0.13698347769629216,0.4690967563378427,1.1468092004339612,0.4572860450596634,2.876036468658008,0.7702748481712807,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,LV_EF,-0.02667404124211825,0.008306647965416334,0.9736785688605969,0.957954428791076,0.989660809496799,0.0013219667500572463,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,TissueDopplerEERatioSeptal,0.007630374270781132,0.01287015670946432,1.007659559761384,0.9825587575745734,1.0334015961395995,0.553265844333295,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,EstimatedSysPAPressure,-0.013462833906422797,0.009511108918403498,0.9866273847220242,0.9684052744357007,1.0051923734622887,0.15692628482505455,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Moderately dilated,0.3210813834543427,0.27222833051718404,1.3786177730049864,0.8085715195202625,2.3505489844273453,0.2382165806862262,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Normal,0.4386336205909063,0.41966753334714296,1.550587080126185,0.681189499671833,3.5295909496733917,0.29593372033895604,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Severely dilated,0.05333502892995541,0.48042613124423056,1.0547829687385857,0.41135438380435724,2.704643866564768,0.9116035904238537,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,-0.21149073196406837,0.3376492840665088,0.8093767823510657,0.4175782493189298,1.5687856752055873,0.5310774290191826,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.17675339247001093,0.3214042460313606,1.193336771004062,0.6355916829539136,2.2405149205416186,0.5823597989190836,own_complete_case,logistic,,,,,,,,,,,,,
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.7677439234329894,0.35600888318097185,0.46405884047232693,0.23095755395249176,0.9324250440616393,0.031042284858771474,own_complete_case,logistic,,,,,,,,,,,,,
survival,cox_regular,C_minimal_primary_reference,LV_EF,,,,,,,own_complete_case,cox_regular,-0.01863612938494846,0.9815364495436691,0.003407842052679405,-0.025315377073201143,-0.011956881696695777,0.9750023701411923,0.9881143177562509,0.0,-5.46860127226139,4.536008675371677e-08,24.39400135958072,,
survival,cox_regular,C_minimal_primary_reference,TissueDopplerEERatioSeptal,,,,,,,own_complete_case,cox_regular,0.018384876704825557,1.018554919021078,0.00538416713621304,0.007832103031103837,0.02893765037854728,1.007862854179678,1.0293604122422408,0.0,3.4146184989637196,0.000638714035599331,10.612542225786067,,
survival,cox_regular,C_lite_supportive,LV_EF,,,,,,,own_complete_case,cox_regular,-0.019927554479541084,0.9802696868820728,0.003933625879248749,-0.027637319531523336,-0.012217789427558832,0.9727410970299755,0.9878565447207229,0.0,-5.065950624502929,4.0636724626738704e-07,21.23071254052644,,
survival,cox_regular,C_lite_supportive,TissueDopplerEERatioSeptal,,,,,,,own_complete_case,cox_regular,0.014049083838012946,1.0141482360045948,0.006052708560457534,0.0021859930505989025,0.02591217462542699,1.0021883840753447,1.0262508136533228,0.0,2.321123460296088,0.020280181552319258,5.6237856220755695,,
survival,cox_regular,C_lite_supportive,EstimatedSysPAPressure,,,,,,,own_complete_case,cox_regular,0.0030152515950991423,1.0030198020386178,0.004264337800623007,-0.005342696912034697,0.01137320010223298,0.9946715499096697,1.0114381208278769,0.0,0.7070855396724488,0.47951332161681537,1.0603571988023575,,
survival,cox_regular,C_lite_supportive,LACavitySize_Moderately dilated,,,,,,,own_complete_case,cox_regular,0.13927116255353048,1.1494357416797523,0.13275272960206602,-0.12091940631590323,0.39946173142296415,0.8861053712115381,1.4910219113607814,0.0,1.0491020634453532,0.29413114653148054,1.7654685307668807,,
survival,cox_regular,C_lite_supportive,LACavitySize_Normal,,,,,,,own_complete_case,cox_regular,0.23562352809684697,1.265697720831484,0.20569806178075212,-0.16753726468312216,0.6387843208768161,0.8457451002784482,1.894176767906291,0.0,1.1454824904864276,0.2520093445416808,1.9884508648367958,,
survival,cox_regular,C_lite_supportive,LACavitySize_Severely dilated,,,,,,,own_complete_case,cox_regular,0.09727340980384115,1.1021616742370168,0.22342453568945567,-0.3406306334100759,0.5351774530177582,0.7113215981220217,1.7077512609824639,0.0,0.4353747877495618,0.6632904077426254,0.592287432576382,,
survival,cox_regular,C_full_exploratory,LV_EF,,,,,,,own_complete_case,cox_regular,-0.017218976699969756,0.9829284226447924,0.003967928501273509,-0.02499597365569583,-0.009441979744243685,0.9753138389697473,0.9906024557834128,0.0,-4.339538047231273,1.427825456086531e-05,16.095820845930568,,
survival,cox_regular,C_full_exploratory,TissueDopplerEERatioSeptal,,,,,,,own_complete_case,cox_regular,0.016962897901053164,1.0171075847989235,0.006346573084330933,0.004523843230513247,0.02940195257159308,1.0045340912569611,1.0298384575092243,0.0,2.672764919848303,0.007522894807051044,7.054496367420094,,
survival,cox_regular,C_full_exploratory,EstimatedSysPAPressure,,,,,,,own_complete_case,cox_regular,-0.003331150988991492,0.9966743911388681,0.004774027776272037,-0.012688073491678529,0.006025771513695544,0.9873920807536659,1.0060439629957458,0.0,-0.6977653137143528,0.48532397455625287,1.042979965221904,,
survival,cox_regular,C_full_exploratory,LACavitySize_Moderately dilated,,,,,,,own_complete_case,cox_regular,0.1490499036600466,1.160730912484644,0.1331928331022311,-0.11200325221918067,0.4101030595392739,0.8940413498772027,1.5069730850619902,0.0,1.1190534819966218,0.26311732346193806,1.926221857216447,,
survival,cox_regular,C_full_exploratory,LACavitySize_Normal,,,,,,,own_complete_case,cox_regular,0.32995961611298363,1.3909119568982578,0.2134410655270341,-0.08837718514185688,0.7482964173678242,0.9154155304609656,2.1133966023804924,0.0,1.5459050267493697,0.12212750638127641,3.033539924450235,,
survival,cox_regular,C_full_exploratory,LACavitySize_Severely dilated,,,,,,,own_complete_case,cox_regular,-0.006888396896226183,0.993135273727605,0.2273555278571362,-0.4524970431823061,0.43872024938985377,0.6360379528167325,1.550721411440996,0.0,-0.030297908131596683,0.9758294648775155,0.03529904922242311,,
