outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,sample_label,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),IRR,cohort_label
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,const,-1.5642510340534606,0.8055080203196926,0.20924467163358218,0.043151126556465275,1.014650974401632,0.052143945070388664,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,AgeAtFirstHFDate,0.04775214536005551,0.010055721219250609,1.0489106457330777,1.0284398362165017,1.0697889210318092,2.0467381862676604e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,creatinine-numeric result,-0.21807257510150058,0.05589166327999325,0.8040670842986831,0.7206366402260678,0.8971565418180337,9.551898202420084e-05,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,AFIB_binary,0.39262828734002053,0.20864609118428426,1.4808678296905573,0.983814366772138,2.229048083743157,0.0598644303261886,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,LV_EF,-0.03221536255662424,0.007094352387862833,0.9682980244841282,0.9549270840114417,0.9818561855856118,5.599146239321229e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,TissueDopplerEERatioSeptal,0.008635658392011216,0.010985818050526053,1.0086730532555233,0.9871862591048217,1.0306275223952317,0.4318245378080574,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_no_albumin,C_minimal_no_albumin_sensitivity,m/f_m,-0.16581417632080678,0.2277457706330636,0.8472036500624289,0.5421590411326969,1.3238809467781751,0.4665725833203078,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,const,0.820188250246463,1.000926804779042,2.270927299920103,0.3192986883632966,16.151368575791555,0.4125418091210342,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,AgeAtFirstHFDate,0.04800023960796528,0.01022838125691425,1.0491709067141466,1.0283469523155842,1.070416544743722,2.694275370140886e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,albumin-numeric result,-0.7951249373065193,0.1991812212408115,0.45152481910371994,0.30558719280195745,0.6671570899202326,6.552738893073062e-05,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,creatinine-numeric result,-0.2089358231245805,0.05682360514605417,0.8114473101253362,0.7259239009997654,0.9070465047407996,0.00023606747503812642,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,AFIB_binary,0.3687569297949814,0.21206197042696054,1.4459360969725323,0.9541975702838139,2.1910883674816937,0.082050388565992,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,LV_EF,-0.032982132380899615,0.007201276819926369,0.9675558473539249,0.9539952038590002,0.9813092497340646,4.648880933322275e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.010511527817554822,0.011252244795939623,1.0105669680095133,0.9885234913776334,1.033102000852509,0.3502153694652339,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
one_year_mortality,logistic_with_albumin_reference,C_minimal_primary_reference,m/f_m,-0.18928334885220469,0.2321382234963765,0.8275519875651233,0.525043445277353,1.3043535697531081,0.4148487052820402,matched_to_C_minimal_with_albumin,,,,,,,,,,,,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,AgeAtFirstHFDate,,,,,,,matched_to_C_minimal_with_albumin,0.03835410206548687,1.0390991148835906,0.0050064816412013794,0.02854157835947118,0.048166625771502554,1.0289527921141994,1.0493454887598253,0.0,7.660889385840878,1.8464984605607652e-14,45.622201268664426,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,creatinine-numeric result,,,,,,,matched_to_C_minimal_with_albumin,-0.09322103105811869,0.910992120489035,0.02712242779516159,-0.1463800127099235,-0.04006204940631386,0.8638293746625111,0.9607298245875746,0.0,-3.4370459666132294,0.0005880957887830573,10.731661219815718,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,AFIB_binary,,,,,,,matched_to_C_minimal_with_albumin,0.24706360190934154,1.2802605372034888,0.10467811251656109,0.04189827140725036,0.4522289324114327,1.042788391959175,1.571811746044767,0.0,2.360222170324801,0.018263993255796397,5.774853957832219,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,LV_EF,,,,,,,matched_to_C_minimal_with_albumin,-0.018254458787185738,0.981911144647596,0.0034055632440943197,-0.024929240092683994,-0.011579677481687482,0.9753789273090409,0.9884871089466025,0.0,-5.360187868729583,8.313545061842651e-08,23.519960956888525,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,TissueDopplerEERatioSeptal,,,,,,,matched_to_C_minimal_with_albumin,0.017066173450366495,1.0172126325677942,0.005387323777653353,0.006507212873109654,0.027625134027623337,1.0065284307809779,1.0280102461215617,0.0,3.1678388295793676,0.0015357663388189868,9.346825552633092,,
survival,cox_regular_no_albumin,C_minimal_no_albumin_sensitivity,m/f_m,,,,,,,matched_to_C_minimal_with_albumin,0.00757973458083421,1.007608533485694,0.1107074367106187,-0.20940285419272586,0.2245623233543943,0.8110684275032094,1.2517747237167276,0.0,0.06846635425808921,0.9454144026175328,0.0809812517408132,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,AgeAtFirstHFDate,,,,,,,matched_to_C_minimal_with_albumin,0.038170740629364895,1.0389086016445368,0.004979600269159291,0.028410903444406728,0.04793057781432306,1.0288183425802666,1.0490978221325786,0.0,7.665422637590403,1.7824327776023444e-14,45.67314566030846,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,albumin-numeric result,,,,,,,matched_to_C_minimal_with_albumin,-0.27931032166937625,0.756305168912786,0.09620321659049562,-0.46786516138365386,-0.09075548195509861,0.626337972509523,0.913240987501362,0.0,-2.903336619796252,0.0036920955627762135,8.081344389815156,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,creatinine-numeric result,,,,,,,matched_to_C_minimal_with_albumin,-0.08046924357397726,0.922683281587444,0.027229731249900586,-0.13383853613248725,-0.027099951015467284,0.8747312906988022,0.9732639579417074,0.0,-2.9551978620527537,0.003124685850445931,8.32207313321888,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,AFIB_binary,,,,,,,matched_to_C_minimal_with_albumin,0.22447337363601705,1.2516633836594881,0.10498890149510287,0.018698907929191988,0.4302478393428421,1.0188748272973476,1.5376385636591117,0.0,2.138067647526414,0.03251125325178605,4.942917019311282,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,LV_EF,,,,,,,matched_to_C_minimal_with_albumin,-0.01863612938494846,0.9815364495436691,0.003407842052679405,-0.025315377073201143,-0.011956881696695777,0.9750023701411923,0.9881143177562509,0.0,-5.46860127226139,4.536008675371677e-08,24.39400135958072,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,TissueDopplerEERatioSeptal,,,,,,,matched_to_C_minimal_with_albumin,0.018384876704825557,1.018554919021078,0.00538416713621304,0.007832103031103837,0.02893765037854728,1.007862854179678,1.0293604122422408,0.0,3.4146184989637196,0.000638714035599331,10.612542225786067,,
survival,cox_regular_with_albumin_reference,C_minimal_primary_reference,m/f_m,,,,,,,matched_to_C_minimal_with_albumin,0.012896895078841224,1.0129804187091103,0.11084997018122363,-0.204365054163696,0.23015884432137845,0.8151647375828519,1.2587999472729772,0.0,0.11634549885540493,0.9073787275565113,0.140223257116787,,
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,const,-1.6376886928621406,0.5758735421954098,,0.06288794194972003,0.6011104705185771,0.004457428016137355,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.19442890828099912,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,AgeAtFirstHFDate,0.030579757286408254,0.006630770167599086,,1.0177389466405724,1.0445394460788697,3.992052715062755e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.0310521206887826,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,creatinine-numeric result,-0.04251413778036037,0.03534043185508415,,0.894239731052374,1.0271141858546746,0.22898071961491562,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9583769161028255,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,AFIB_binary,0.04688112723159623,0.15212349842352893,,0.7778038326826989,1.412050896557055,0.7579468330986712,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.0479974233198852,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,LV_EF,-0.010948788274712584,0.005522286903880695,,0.9784628387822515,0.9998749018823158,0.047406009015908745,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9891109315556551,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,TissueDopplerEERatioSeptal,0.02664554442770065,0.007827238763653809,,1.0113682898576777,1.0428808507165692,0.000663563400349787,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.027003711051979,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,m/f_m,-0.06826986596544661,0.16834105452875756,,0.6715153977904142,1.2991089428940572,0.6850769782852104,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9340083824894654,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,const,-1.2039603193236408,0.70261101346282,,0.07569237079554647,1.1890530892680984,0.08661108465611367,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.30000374552406994,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,AgeAtFirstHFDate,0.030965016209538523,0.006630576259881335,,1.0181315021396449,1.0449415446089325,3.0114996858454646e-06,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.0314494192449832,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,albumin-numeric result,-0.1550173683330205,0.14437542225587233,,0.6453301736982017,1.1365057904572804,0.2829525733617695,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.8564003031087791,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,creatinine-numeric result,-0.03944135693362503,0.03549156955644119,,0.8967260833736409,1.0305803801238116,0.2664443837665902,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9613263274612548,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,AFIB_binary,0.039618802073672424,0.1516683793288187,,0.7728647437792139,1.4005833460110326,0.7939229165285486,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.040414094895033,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,LV_EF,-0.010891473418000886,0.005502104755725359,,0.978557628895502,0.9998926576648216,0.04775857331891675,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9891676239316114,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.026545590489410218,0.007796635445391098,,1.0113278648242574,1.0427140694013473,0.000662247770089941,matched_to_C_minimal_with_albumin,,,,,,,,,,,,1.0269010631165385,full_cohort_primary
hospitalization,negative_binomial_with_albumin_reference,C_minimal_primary_reference,m/f_m,-0.05595510241971267,0.16817524649111323,,0.6800570511765177,1.3147787239404158,0.7393463944132364,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.9455815892626844,full_cohort_primary
hospitalization,negative_binomial_no_albumin,C_minimal_no_albumin_sensitivity,const,-1.450127178857438,0.5958551632231825,,0.07294837361527613,0.754084341150549,0.014945759574433115,matched_to_C_minimal_with_albumin,,,,,,,,,,,,0.23454045760951267,observed_ge_6m_sensitivity
