term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier,sample_label,landmark_period,source_file
albumin-numeric result,-0.7160811770583615,0.4886634943239615,0.1640026370304012,-1.0375204390075428,-0.3946419151091802,0.3543321818584388,0.6739213170885658,0.0,-4.366278433228006,1.2638136030900602e-05,16.271856774946617,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m,stage5_cox_landmark_effects.csv
LV_EF,-0.0279529719848978,0.9724340973713466,0.0057829790749799,-0.0392874026952073,-0.0166185412745882,0.9614743391170886,0.9835187849098348,0.0,-4.833663000067934,1.3404342753203744e-06,19.508868087037616,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m,stage5_cox_landmark_effects.csv
TissueDopplerEERatioSeptal,0.0009460894565819,1.0009465371403836,0.0090038973402141,-0.0167012250507337,0.0185934039638976,0.9834374672246616,1.0187673376333215,0.0,0.1050755490465678,0.916315860916677,0.126083103083665,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m,stage5_cox_landmark_effects.csv
albumin-numeric result,-0.0872828124698373,0.9164178845754803,0.1202021491730786,-0.3228746957133826,0.1483090707737079,0.7240645770791201,1.1598713232977689,0.0,-0.7261335431212558,0.467756907595362,1.0961691362796893,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m,stage5_cox_landmark_effects.csv
LV_EF,-0.0135766318797419,0.9865151149133812,0.0042917923770688,-0.0219883903679204,-0.0051648733915633,0.97825159212635,0.994848441633676,0.0,-3.163394378600905,0.0015594092529473,9.324784684583602,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m,stage5_cox_landmark_effects.csv
TissueDopplerEERatioSeptal,0.0305033599306842,1.0309733540419683,0.00680004241835,0.0171755216973735,0.0438311981639949,1.017323869067646,1.0448059748354028,0.0,4.485760242961197,7.265440518661255e-06,17.07051829523471,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m,stage5_cox_landmark_effects.csv
