ll_reduced,ll_full,lr_stat,df_diff,lr_p_value,outcome,model_family,comparison,role,matched_tier,n_matched,events,added_variables,aic_reduced,aic_full,delta_aic_full_minus_reduced,harrell_c_reduced,harrell_c_full,delta_harrell_c_full_minus_reduced,committee_status
-1706.4456988658308,-1705.1092140170222,2.672969697617191,4,0.6139527855816287,survival,cox_regular,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,415,340,EstimatedSysPAPressure + LACavitySize,3426.8913977316615,3432.2184280340443,5.327030302382809,0.687195450306684,0.6898222940226171,0.002626843715933025,no_supportive_incremental_signal
-1674.2916570255816,-1669.0608391598032,10.461635731556726,3,0.015023415223621104,survival,cox_regular,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,408,335,tricuspid_regurgitation_clin_grouped,3370.583314051163,3366.1216783196064,-4.461635731556726,0.6891103878491999,0.6948738812042311,0.005763493355031235,supportive_signal_exploratory_not_primary
