outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value,cohort_label
hospitalization,negative_binomial,C_minimal_primary_reference,const,-1.2039603193236408,0.70261101346282,0.30000374552406994,0.07569237079554647,1.1890530892680984,0.08661108465611367,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,AgeAtFirstHFDate,0.030965016209538523,0.006630576259881335,1.0314494192449832,1.0181315021396449,1.0449415446089325,3.0114996858454646e-06,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,albumin-numeric result,-0.1550173683330205,0.14437542225587233,0.8564003031087791,0.6453301736982017,1.1365057904572804,0.2829525733617695,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,creatinine-numeric result,-0.03944135693362503,0.03549156955644119,0.9613263274612548,0.8967260833736409,1.0305803801238116,0.2664443837665902,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,AFIB_binary,0.039618802073672424,0.1516683793288187,1.040414094895033,0.7728647437792139,1.4005833460110326,0.7939229165285486,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,LV_EF,-0.010891473418000886,0.005502104755725359,0.9891676239316114,0.978557628895502,0.9998926576648216,0.04775857331891675,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.026545590489410218,0.007796635445391098,1.0269010631165385,1.0113278648242574,1.0427140694013473,0.000662247770089941,full_cohort_primary
hospitalization,negative_binomial,C_minimal_primary_reference,m/f_m,-0.05595510241971267,0.16817524649111323,0.9455815892626844,0.6800570511765177,1.3147787239404158,0.7393463944132364,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,const,-2.125698962538601,0.6286007837711549,0.1193495182636377,0.034813275024156064,0.4091630994176394,0.0007205558722469529,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,AgeAtFirstHFDate,0.02370460702358409,0.0064921553626467185,1.0239877944087614,1.0110404837522107,1.0371009073807795,0.00026094752498839746,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,albumin-numeric result,-0.07382983148223418,0.1144892531217436,0.9288297379736057,0.7421315446737177,1.1624956361657135,0.5190162639885281,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,creatinine-numeric result,-0.03430519768383916,0.03551461594410566,0.9662765542644012,0.9013029458907834,1.0359340148370326,0.33407125247322256,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,AFIB_binary,0.10698512388848525,0.1361500023717038,1.1129176984683922,0.852255528737602,1.453303336616461,0.4319913285872534,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,LV_EF,-0.0031178966444381367,0.004563950963509343,0.9968869589475823,0.9880092286560376,1.0058444598453558,0.49450741976476653,full_cohort_primary
