outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,sample_label
one_year_mortality,logistic,C_minimal_primary_reference,const,0.820188250246463,1.000926804779042,2.270927299920103,0.3192986883632966,16.151368575791555,0.4125418091210342,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,AgeAtFirstHFDate,0.04800023960796528,0.01022838125691425,1.0491709067141466,1.0283469523155842,1.070416544743722,2.694275370140886e-06,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,albumin-numeric result,-0.7951249373065193,0.1991812212408115,0.45152481910371994,0.30558719280195745,0.6671570899202326,6.552738893073062e-05,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,creatinine-numeric result,-0.2089358231245805,0.05682360514605417,0.8114473101253362,0.7259239009997654,0.9070465047407996,0.00023606747503812642,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,AFIB_binary,0.3687569297949814,0.21206197042696054,1.4459360969725323,0.9541975702838139,2.1910883674816937,0.082050388565992,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,LV_EF,-0.032982132380899615,0.007201276819926369,0.9675558473539249,0.9539952038590002,0.9813092497340646,4.648880933322275e-06,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.010511527817554822,0.011252244795939623,1.0105669680095133,0.9885234913776334,1.033102000852509,0.3502153694652339,own_complete_case
one_year_mortality,logistic,C_minimal_primary_reference,m/f_m,-0.18928334885220469,0.2321382234963765,0.8275519875651233,0.525043445277353,1.3043535697531081,0.4148487052820402,own_complete_case
one_year_mortality,logistic,C_lite_supportive,const,1.9329422642718386,1.200331150467702,6.909810851650356,0.6572395003358786,72.64549069431304,0.10732346969787776,own_complete_case
one_year_mortality,logistic,C_lite_supportive,AgeAtFirstHFDate,0.04012453737348798,0.010843773146935756,1.0409404021040964,1.019049919755158,1.0633011197262827,0.0002153976805574498,own_complete_case
one_year_mortality,logistic,C_lite_supportive,albumin-numeric result,-0.9423503045800953,0.22658720225267148,0.3897108190239388,0.2499582885112235,0.6075994653703582,3.1980368618178545e-05,own_complete_case
one_year_mortality,logistic,C_lite_supportive,creatinine-numeric result,-0.18314442928010102,0.06574821066574772,0.8326478883171443,0.7319735334343296,0.947168817246861,0.005343824883553561,own_complete_case
one_year_mortality,logistic,C_lite_supportive,AFIB_binary,0.4298455790441348,0.23386095578456662,1.5370201570997326,0.9718810152648866,2.430782087750737,0.06605664499240027,own_complete_case
one_year_mortality,logistic,C_lite_supportive,LV_EF,-0.03008827554134713,0.008084585805344257,0.970359870724708,0.955104936181228,0.985858457058803,0.00019789839839079448,own_complete_case
one_year_mortality,logistic,C_lite_supportive,TissueDopplerEERatioSeptal,0.0054658545263330475,0.012356563933799164,1.0054808195623308,0.9814217328945632,1.0301297032886778,0.6582401429073892,own_complete_case
one_year_mortality,logistic,C_lite_supportive,EstimatedSysPAPressure,-0.005283730560305194,0.008549378408698856,0.9947302037914229,0.9782006051494581,1.0115391189967042,0.5365587844238504,own_complete_case
one_year_mortality,logistic,C_lite_supportive,m/f_m,-0.2185560755512615,0.2555819087473868,0.803678411471102,0.48699734059932076,1.3262885342861248,0.39247849453465466,own_complete_case
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Moderately dilated,0.34564293295460213,0.2680342906471607,1.4128980264131745,0.8355172567897633,2.3892754061267185,0.19720783533024377,own_complete_case
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Normal,0.2796203703851494,0.40799327015510456,1.3226276084081554,0.5944929396008642,2.9425812721980624,0.49311971232271423,own_complete_case
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Severely dilated,0.13698347769629216,0.4690967563378427,1.1468092004339612,0.4572860450596634,2.876036468658008,0.7702748481712807,own_complete_case
one_year_mortality,logistic,C_full_exploratory,const,2.282823512772504,1.2439313993504075,9.804323999187066,0.8561736768070637,112.27251162347628,0.06648075159750944,own_complete_case
