term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier
AgeAtFirstHFDate,0.036705636898314756,1.037387607255396,0.005337286554827507,0.026244747475682978,0.047166526320946534,1.0265921735718713,1.0482965635152814,0.0,6.877209331231238,6.103639048387735e-12,37.25346749077773,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
albumin-numeric result,-1.4311199434667778,0.2390410598031389,0.36471950460188246,-2.145957036945758,-0.7162828499877977,0.11695605220287043,0.48856495406233824,0.0,-3.92389199209115,8.71298103408824e-05,13.486474071652461,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
creatinine-numeric result,-0.10906200437283627,0.8966748180148186,0.030448060268936386,-0.16873910589905655,-0.049384902846615994,0.8447292595206799,0.9518147029950544,0.0,-3.581903195459158,0.0003411001950593949,11.517516799587458,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
AFIB_binary,0.2929529891612547,1.340379776572992,0.11317902239132803,0.0711261814687994,0.51477979685371,1.0737167004713253,1.6732700019075881,0.0,2.5884036014053895,0.009642193100791384,6.69642296229522,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
LV_EF,-0.019383886959540263,0.9808027725692282,0.003707028016713429,-0.02664952836197953,-0.012118245557100997,0.973702436819184,0.9879548846791304,0.0,-5.2289561535943285,1.7046978465232588e-07,22.48398061642992,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
TissueDopplerEERatioSeptal,0.014678872328786554,1.0147871360564011,0.0059311244472238425,0.0030540820244027867,0.02630366263317032,1.0030587504843187,1.0266526571931363,0.0,2.474888608290328,0.013327773724555785,6.229420377448451,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
m/f_m,-0.034166020007254445,0.9664110477491902,0.12150866386551695,-0.27231862499325116,0.20398658497874225,0.7616115539493733,1.226281702750757,0.0,-0.28118176038104264,0.7785709936507912,0.36109949807742614,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
albumin_x_log_time,0.1704520258185311,1.1858407608293347,0.06293950252148857,0.047092867671545593,0.29381118396551664,1.0482193502499886,1.3415305772679431,0.0,2.708188323546663,0.00676516219954754,7.207659760411843,survival,cox_time_varying_albumin,C_minimal_primary_reference_matched_to_C_lite_supportive
AgeAtFirstHFDate,0.036665895781270635,1.0373463811322676,0.005373420420576913,0.026134185283147815,0.047197606279393456,1.026478677564621,1.048329145035229,0.0,6.823567283301095,8.880711746446143e-12,36.71246183235233,survival,cox_time_varying_albumin,C_lite_supportive_matched
albumin-numeric result,-1.474508323098854,0.22889123991850796,0.3666996163305827,-2.193226364251452,-0.7557902819462562,0.1115562462890819,0.4696393205600317,0.0,-4.0210249954817865,5.794545540104919e-05,14.07494495776884,survival,cox_time_varying_albumin,C_lite_supportive_matched
creatinine-numeric result,-0.10021526820832097,0.9046426562699176,0.03156367689154076,-0.16207893813540003,-0.03835159828124192,0.8503740749468567,0.9623745121748168,0.0,-3.175018821561287,0.0014982678268514987,9.382488745022226,survival,cox_time_varying_albumin,C_lite_supportive_matched
AFIB_binary,0.3035987229019842,1.354725326756174,0.11482717292767343,0.07854159951719156,0.5286558462867769,1.0817083527715483,1.6966502165322797,0.0,2.643962358049283,0.008194176818166168,6.9311852602916195,survival,cox_time_varying_albumin,C_lite_supportive_matched
LV_EF,-0.019600484127594756,0.9805903564714628,0.003928650498141966,-0.02730049761179835,-0.01190047064339116,0.9730687927381232,0.9881700598979226,0.0,-4.989113726676552,6.06569314303115e-07,20.652824148812083,survival,cox_time_varying_albumin,C_lite_supportive_matched
TissueDopplerEERatioSeptal,0.014337358144762304,1.0144406310272314,0.006046069838805091,0.0024872790126904357,0.026187437276834175,1.0024903748573448,1.026533341056135,0.0,2.3713517255030343,0.01772315627259036,5.8182206370485225,survival,cox_time_varying_albumin,C_lite_supportive_matched
EstimatedSysPAPressure,0.0031082944307005314,1.0031131301868543,0.004245980529525783,-0.005213674486228311,0.011430263347629374,0.9947998931253181,1.0114958384163297,0.0,0.7320557428575124,0.46413454515593755,1.107385014766876,survival,cox_time_varying_albumin,C_lite_supportive_matched
m/f_m,-0.04125064896697945,0.9595885799159686,0.12426967688230318,-0.28481474002672347,0.20231344209276456,0.7521535853658758,1.2242316737175805,0.0,-0.33194460629400585,0.7399310872513292,0.4345371818624142,survival,cox_time_varying_albumin,C_lite_supportive_matched
LACavitySize_Moderately dilated,0.1469778847053873,1.1583283459739626,0.1326032834595241,-0.11291977510703577,0.4068755445178104,0.8932223159063749,1.5021171473143218,0.0,1.1084030566275602,0.2676877854289901,1.90137678445951,survival,cox_time_varying_albumin,C_lite_supportive_matched
LACavitySize_Normal,0.2648824427810614,1.3032777570639373,0.20576833394025446,-0.13841608090064816,0.6681809664627709,0.8707363196108734,1.950685728621807,0.0,1.2872847717082208,0.19799504937324205,2.336463736976234,survival,cox_time_varying_albumin,C_lite_supportive_matched
LACavitySize_Severely dilated,0.08846064779697424,1.092491259826694,0.2236139422139798,-0.349814625383447,0.5267359209773954,0.7048187331117449,1.6933958998625094,0.0,0.39559540394097975,0.6924035282171632,0.5303150187552604,survival,cox_time_varying_albumin,C_lite_supportive_matched
