outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),sample_label,IRR,committee_note
one_year_mortality,logistic,C_minimal,albumin-numeric result,-0.7951249373065193,0.1991812212408115,0.45152481910371994,0.30558719280195745,0.6671570899202326,6.552738893073062e-05,,,,,,,,,,,,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
one_year_mortality,logistic,C_minimal,creatinine-numeric result,-0.2089358231245805,0.05682360514605417,0.8114473101253362,0.7259239009997654,0.9070465047407996,0.00023606747503812642,,,,,,,,,,,,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
one_year_mortality,logistic,C_minimal,AFIB_binary,0.3687569297949814,0.21206197042696054,1.4459360969725323,0.9541975702838139,2.1910883674816937,0.082050388565992,,,,,,,,,,,,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
one_year_mortality,logistic,C_minimal,LV_EF,-0.032982132380899615,0.007201276819926369,0.9675558473539249,0.9539952038590002,0.9813092497340646,4.648880933322275e-06,,,,,,,,,,,,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
one_year_mortality,logistic,C_minimal,TissueDopplerEERatioSeptal,0.010511527817554822,0.011252244795939623,1.0105669680095133,0.9885234913776334,1.033102000852509,0.3502153694652339,,,,,,,,,,,,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_regular,C_minimal,albumin-numeric result,,,,,,,-0.27931032166937625,0.756305168912786,0.09620321659049562,-0.46786516138365386,-0.09075548195509861,0.626337972509523,0.913240987501362,0.0,-2.903336619796252,0.0036920955627762135,8.081344389815156,own_complete_case,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_regular,C_minimal,creatinine-numeric result,,,,,,,-0.08046924357397726,0.922683281587444,0.027229731249900586,-0.13383853613248725,-0.027099951015467284,0.8747312906988022,0.9732639579417074,0.0,-2.9551978620527537,0.003124685850445931,8.32207313321888,own_complete_case,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_regular,C_minimal,AFIB_binary,,,,,,,0.22447337363601705,1.2516633836594881,0.10498890149510287,0.018698907929191988,0.4302478393428421,1.0188748272973476,1.5376385636591117,0.0,2.138067647526414,0.03251125325178605,4.942917019311282,own_complete_case,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_regular,C_minimal,LV_EF,,,,,,,-0.01863612938494846,0.9815364495436691,0.003407842052679405,-0.025315377073201143,-0.011956881696695777,0.9750023701411923,0.9881143177562509,0.0,-5.46860127226139,4.536008675371677e-08,24.39400135958072,own_complete_case,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_regular,C_minimal,TissueDopplerEERatioSeptal,,,,,,,0.018384876704825557,1.018554919021078,0.00538416713621304,0.007832103031103837,0.02893765037854728,1.007862854179678,1.0293604122422408,0.0,3.4146184989637196,0.000638714035599331,10.612542225786067,own_complete_case,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal,albumin-numeric result,,,,,,,-1.4299901929472136,0.23931126917049542,0.32337685131176136,-2.06379717495223,-0.7961832109421972,0.12697092256079545,0.45104723504369026,0.0,-4.422054909454814,9.776660135922257e-06,16.642226867773537,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal,creatinine-numeric result,,,,,,,-0.09623936169864902,0.9082465906013611,0.027310209872662552,-0.14976638945929785,-0.0427123339380002,0.8609090703687351,0.9581869883025851,0.0,-3.5239334354213208,0.0004251910499880729,11.199601150210343,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal,AFIB_binary,,,,,,,0.19432993321982822,1.214496919740108,0.10425967984731452,-0.01001528432058471,0.3986751507602412,0.9900347016257566,1.4898495634911357,0.0,1.8639030304372617,0.06233532309620325,4.003806273486907,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal,LV_EF,,,,,,,-0.021279345297781017,0.9789454625587379,0.0032709773372857037,-0.02769034307310772,-0.014868347522454313,0.9726895202193709,0.9852416405681105,0.0,-6.505500681774479,7.743503279679917e-11,33.58822263233214,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
survival,cox_time_varying_albumin,C_minimal_matched,albumin-numeric result,,,,,,,-1.4946030301803936,0.22433764233015288,0.32722941360183794,-2.135960895522157,-0.85324516483863,0.11813102425055237,0.426030148181131,0.0,-4.567447081633614,4.937002615314209e-06,17.627933159995653,,,Combined review file only; manuscript should use separate OR/HR/IRR tables.
