outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value
one_year_mortality,logistic,C_minimal,albumin-numeric result,-0.7951249373065193,0.1991812212408115,0.45152481910371994,0.30558719280195745,0.6671570899202326,6.552738893073062e-05
one_year_mortality,logistic,C_minimal,creatinine-numeric result,-0.2089358231245805,0.05682360514605417,0.8114473101253362,0.7259239009997654,0.9070465047407996,0.00023606747503812642
one_year_mortality,logistic,C_minimal,AFIB_binary,0.3687569297949814,0.21206197042696054,1.4459360969725323,0.9541975702838139,2.1910883674816937,0.082050388565992
one_year_mortality,logistic,C_minimal,LV_EF,-0.032982132380899615,0.007201276819926369,0.9675558473539249,0.9539952038590002,0.9813092497340646,4.648880933322275e-06
one_year_mortality,logistic,C_minimal,TissueDopplerEERatioSeptal,0.010511527817554822,0.011252244795939623,1.0105669680095133,0.9885234913776334,1.033102000852509,0.3502153694652339
