outcome,model_name,tier,term,estimate_log,se_log,OR,ci_lower,ci_upper,p_value
one_year_mortality,logistic,C_minimal,m/f_m,-0.18928334885220469,0.2321382234963765,0.8275519875651233,0.525043445277353,1.3043535697531081,0.4148487052820402
one_year_mortality,logistic,C_lite_supportive,const,1.9329422642718386,1.200331150467702,6.909810851650356,0.6572395003358786,72.64549069431304,0.10732346969787776
one_year_mortality,logistic,C_lite_supportive,AgeAtFirstHFDate,0.04012453737348798,0.010843773146935756,1.0409404021040964,1.019049919755158,1.0633011197262827,0.0002153976805574498
one_year_mortality,logistic,C_lite_supportive,albumin-numeric result,-0.9423503045800953,0.22658720225267148,0.3897108190239388,0.2499582885112235,0.6075994653703582,3.1980368618178545e-05
one_year_mortality,logistic,C_lite_supportive,creatinine-numeric result,-0.18314442928010102,0.06574821066574772,0.8326478883171443,0.7319735334343296,0.947168817246861,0.005343824883553561
one_year_mortality,logistic,C_lite_supportive,AFIB_binary,0.4298455790441348,0.23386095578456662,1.5370201570997326,0.9718810152648866,2.430782087750737,0.06605664499240027
one_year_mortality,logistic,C_lite_supportive,LV_EF,-0.03008827554134713,0.008084585805344257,0.970359870724708,0.955104936181228,0.985858457058803,0.00019789839839079448
one_year_mortality,logistic,C_lite_supportive,TissueDopplerEERatioSeptal,0.0054658545263330475,0.012356563933799164,1.0054808195623308,0.9814217328945632,1.0301297032886778,0.6582401429073892
one_year_mortality,logistic,C_lite_supportive,EstimatedSysPAPressure,-0.005283730560305194,0.008549378408698856,0.9947302037914229,0.9782006051494581,1.0115391189967042,0.5365587844238504
one_year_mortality,logistic,C_lite_supportive,m/f_m,-0.2185560755512615,0.2555819087473868,0.803678411471102,0.48699734059932076,1.3262885342861248,0.39247849453465466
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Moderately dilated,0.34564293295460213,0.2680342906471607,1.4128980264131745,0.8355172567897633,2.3892754061267185,0.19720783533024377
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Normal,0.2796203703851494,0.40799327015510456,1.3226276084081554,0.5944929396008642,2.9425812721980624,0.49311971232271423
one_year_mortality,logistic,C_lite_supportive,LACavitySize_Severely dilated,0.13698347769629216,0.4690967563378427,1.1468092004339612,0.4572860450596634,2.876036468658008,0.7702748481712807
one_year_mortality,logistic,C_full_exploratory,const,2.282823512772504,1.2439313993504075,9.804323999187066,0.8561736768070637,112.27251162347628,0.06648075159750944
one_year_mortality,logistic,C_full_exploratory,AgeAtFirstHFDate,0.03912870809570784,0.011014145948642124,1.0399043191417525,1.0176957285395094,1.0625975550880866,0.00038146333000677046
one_year_mortality,logistic,C_full_exploratory,albumin-numeric result,-0.9607379643650595,0.2321352629063167,0.38261042890407276,0.2427500223692345,0.6030513978016905,3.492809424177068e-05
one_year_mortality,logistic,C_full_exploratory,creatinine-numeric result,-0.154929916222075,0.06751901007712885,0.8564752003980156,0.7503112369199864,0.9776606464112534,0.021755382294931014
one_year_mortality,logistic,C_full_exploratory,AFIB_binary,0.38352007456382675,0.2389249438679516,1.4674410103912925,0.9187209799367467,2.343892396064011,0.10845186498713533
one_year_mortality,logistic,C_full_exploratory,LV_EF,-0.02667404124211825,0.008306647965416334,0.9736785688605969,0.957954428791076,0.989660809496799,0.0013219667500572463
one_year_mortality,logistic,C_full_exploratory,TissueDopplerEERatioSeptal,0.007630374270781132,0.01287015670946432,1.007659559761384,0.9825587575745734,1.0334015961395995,0.553265844333295
one_year_mortality,logistic,C_full_exploratory,EstimatedSysPAPressure,-0.013462833906422797,0.009511108918403498,0.9866273847220242,0.9684052744357007,1.0051923734622887,0.15692628482505455
one_year_mortality,logistic,C_full_exploratory,m/f_m,-0.20567008587743174,0.2597633035512508,0.814101615603221,0.4892869455763495,1.3545455208233341,0.4285008707804898
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Moderately dilated,0.3210813834543427,0.27222833051718404,1.3786177730049864,0.8085715195202625,2.3505489844273453,0.2382165806862262
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Normal,0.4386336205909063,0.41966753334714296,1.550587080126185,0.681189499671833,3.5295909496733917,0.29593372033895604
one_year_mortality,logistic,C_full_exploratory,LACavitySize_Severely dilated,0.05333502892995541,0.48042613124423056,1.0547829687385857,0.41135438380435724,2.704643866564768,0.9116035904238537
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,-0.21149073196406837,0.3376492840665088,0.8093767823510657,0.4175782493189298,1.5687856752055873,0.5310774290191826
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.17675339247001093,0.3214042460313606,1.193336771004062,0.6355916829539136,2.2405149205416186,0.5823597989190836
one_year_mortality,logistic,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.7677439234329894,0.35600888318097185,0.46405884047232693,0.23095755395249176,0.9324250440616393,0.031042284858771474
