test,outcome,cohort_label,model_family,n_matched,lr_p_value,delta_aic_full_minus_reduced,committee_rule_status,note
logistic,one_year_mortality,,logistic,497,0.3500837077769976,1.1268462983043719,LR_does_not_support_incremental_value,Use with supportive metrics and clinical direction; do not reinterpret exploratory tiers as primary.
cox_regular,survival,,cox_regular,518,0.0009027402400457967,-9.017124026025158,LR_supports_incremental_value,Regular Cox is reported for comparability; PH summary determines whether HRs are time-averaged and require time-varying/landmark interpretation.
cox_time_varying_albumin,survival,,cox_time_varying_albumin,518,0.0006943253525548301,,LR_supports_incremental_value,Primary PH-handled survival sensitivity for albumin PH violation.
hospitalization_NB,hospitalization,full_cohort_primary,negative_binomial,518,1.5150170010125857e-154,-699.3579127669452,LR_supports_but_NB_fit_flagged_interpret_with_sensitivity,"Primary full-cohort hospitalization estimand. If NB fit is flagged, interpret LR with caution and rely on pre-specified robust Poisson, ZINB, and 6m sensitivity for triangulation."
hospitalization_NB,hospitalization,observed_ge_6m_sensitivity,negative_binomial,371,0.00017574170142762465,-12.074159436767331,LR_supports_but_NB_fit_flagged_interpret_with_sensitivity,Mandatory 6m sensitivity. Support here strengthens hospitalization inference by reducing short-follow-up/early-death distortion.
