ll_reduced,ll_full,lr_stat,df_diff,lr_p_value,outcome,model_family,comparison,cohort_label,matched_tier,n_matched,events_total,zero_count_n,aic_model_b_matched,aic_c_minimal_matched,delta_aic_full_minus_reduced,alpha_model_b,alpha_c_minimal,pearson_dispersion_nb_model_b,pearson_dispersion_nb_c_minimal,pearson_dispersion_poisson_scale_model_b,pearson_dispersion_poisson_scale_c_minimal,converged_model_b,converged_c_minimal,nb_fit_flags_model_b,nb_fit_flags_c_minimal,committee_interpretation_status
-1341.7398297829873,-991.0608733995147,701.3579127669452,1,1.5150170010125857e-154,hospitalization,negative_binomial,C_minimal_vs_Model_B,full_cohort_primary,C_minimal,518,955.0,195,2699.4796595659745,2000.1217467990293,-699.3579127669452,5.636702827634449e-10,1.4965448275503297,9.565649812332575,2.0964588230329,9.565649815984624,5.276193170508549,True,True,alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,LR_supports_but_NB_fit_flagged_interpret_with_sensitivity
-834.4634977402482,-827.4264180218645,14.074159436767331,1,0.00017574170142762465,hospitalization,negative_binomial,C_minimal_vs_Model_B,observed_ge_6m_sensitivity,C_minimal,371,874.0,96,1684.9269954804963,1672.852836043729,-12.074159436767331,1.479149682134522,1.3928841838628798,3.218380109623127,3.457027011323813,7.676623933434938,7.806604386490141,True,True,residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,LR_supports_but_NB_fit_flagged_interpret_with_sensitivity
