column,dtype,vtype,n_available,pct_available,n_missing,pct_missing,n_unique_nonmissing,clinical_axis,proposed_status,sample_or_distribution,requires_review
ProcedureSummary,object,categorical/text,645,100.0,0,0.0,644,Echo free text,"Descriptive only — free text, not modeled in Stage 1","חדר שמאל בגודל תקין, התכווצות גלובלית ירודה במידה בינונית, אקינזיה פוסטריורית,לטרלית, אינפרו-בזלית וספטו-בזלית, הפוקינזיה אנטריורית, תבנית מילוי רסטריקטיבית, עליות בגודל תקין, חדר ימני בגודל תקין, טבעת מסתם מיטרלי מסוידת, אי ספיקה מיטרלית קשה, מסתם אאורטלי מעובה, אי ספיקה אאורטלית וטריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה קשה.: 2 (0.3%); חדר שמאל בגודל והתכווצותו תקין, הפרוזדו השמאלי בגודל תקין, האוזנית והוורידים הפולמונלים נקיים, המחיצה הבין עלייתית ללא פגם, מסתם האורטלי מסויד במידה קלה, פתיחתו תקינה, המסתם המיטרלי מדגים מסה מובילית בגודל 4 ממי בחלק האטריאלי של העלה הפוסטריורי ( כנראה סטרנד), מסתם טריקוספידלי והפולמונלי תקינים, בדופלר אי ספיקה אורטלית בינונית, אי ספיקה מיטרלית קלה, אי ספיקה טריקוספידלית קלה עד בינונית,רצוי לעקוב אחרי הסטרנד המיטרלי . הודגמה אנאוריזמה אפיקלית ממוקמת,: 1 (0.2%); חדר שמאל בגודל תקין, התכווצות גלובלית מופחתת במידה קלה-בינונית, אקינזיה אפיקלית, היפוקינזיה אחורית, עליה שמאלית מורחבת במידה קלה , חדר ימני תקין עליה ימנית מורחבת, טבעת מסתם מיטרלי מסוידת, אי ספיקה מיטרלית קשה, מסתם אאורטלי מסויד אי ספיקה אאורטלית מינימלית, אי ספיקה טריקוספידלית קלה-בינונית, לחץ דם ריאתי מוגבר במידה בינונית, נוזל פריקירדיאלי בכמות קטנה, הודגם נוזל פלאוראלי משמאל .: 1 (0.2%); חדר שמאל בגודל תקין, התכווצותו הגלובלית והאזורית תקינה, תבנית המילוי פסאודונורמאלית, חדר ימין בגודל ותפקוד תקין, עליה שמאלית מורחבת במידה קלה, אי ספיקה אאורטלית קלה , אי ספיקה מיטרלית וטריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה בינונית, תפליט פריקרדיאלי מינימלי, תפליט פלאורלי דוצ: 1 (0.2%); חדר שמאל מורחב במידה בינונית (ביחס לBSA) , תפקודו הסיסטולי הגלובלי ירוד במידה קשה ביותר באופן דיפוזי עם וריאביליות אזורית מסויימת (ראה תרשים) , תבנית המילוי הדיאסטולי פסאודונורמלית ,עליה שמאל מורחבת במידה קשה, עליה ימין מורחבת חדר ימין מורחב עם תפקוד סיסטולי ירוד במידה קשה, ל""ד ריאתי מוערך מוגבר במידה בינונית מסתם אאורטלי מסוייד עם דלף מינימלי, ללא הצרות , דלף מיטראלי קל עד בינוני, דלף טריקוספידלי בינוני. מודגם תפליט פריקריאלי בינוני ללא סימני לחץ על מדורים ימניים: 1 (0.2%); חדר שמאל מורחב במידה קלה, הפרטרופי, התכווצות גלובלית ירודה במידה קשה, עליה שמאלית מורחבת במידה בינונית, חדר ימני מורחב במידה קלה עם תיפקוד ירוד במידה בינונית, עליה ימנית מורחבת במידה קלה, מסתם מיטרלי תותב ביולוגי עם אי ספיקה קלה-בינונית (פאראולולארי), מסתם אורטלי מסויד, אי ספיקה אאורטלית קלה-בינונית, מסתם טריקוספידלי אחרי תיקון, אי ספיקה טריקוספידלית קלה-בינונית, לחץ דם ריאתי מוגבר במידה קשה, הודגם קוצב בחללי הלב ימניים.: 1 (0.2%)",False
ca-numeric result,float64,continuous,644,99.8,1,0.2,58,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=4.8, median=8.3, max=12.8",False
hba1c-numeric result,float64,continuous,580,89.9,65,10.1,71,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=4, median=6.1, max=18.7",False
k-numeric result,float64,continuous,642,99.5,3,0.5,69,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=2.56, median=4.5, max=8.2",False
na-numeric result,float64,continuous,642,99.5,3,0.5,56,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=116, median=137, max=159",False
p-numeric result,float64,continuous,644,99.8,1,0.2,129,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=1.9, median=5.8, max=13",False
ua-numeric result,float64,continuous,644,99.8,1,0.2,149,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=1.7, median=9.35, max=22.2",False
urea-numeric result,float64,continuous,641,99.4,4,0.6,267,Labs,Descriptive/sensitivity — held out of parsimonious base,"min=25, median=211, max=472",False
AFIB,datetime64[ns],date,303,47.0,342,53.0,300,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=1997-04-18, max=2025-05-06",False
CABG,datetime64[ns],date,133,20.6,512,79.4,108,Clinical dates,Excluded — date kept for derivations; binary used if applicable,"min=1986-01-01, max=2025-03-28",False
