value,count
,452
2015-01-01 00:00:00,4
1998-01-01 00:00:00,3
2006-01-01 00:00:00,3
2005-01-01 00:00:00,3
2011-01-01 00:00:00,3
2004-01-01 00:00:00,2
2017-09-06 00:00:00,2
2023-09-01 00:00:00,2
2003-01-01 00:00:00,2
1996-01-01 00:00:00,2
2000-01-01 00:00:00,2
2014-01-01 00:00:00,2
2017-03-08 00:00:00,1
2009-09-01 00:00:00,1
2011-06-15 00:00:00,1
2023-11-01 00:00:00,1
2014-06-20 00:00:00,1
2010-07-21 00:00:00,1
2024-02-18 00:00:00,1
2012-07-04 00:00:00,1
2018-11-06 00:00:00,1
2009-06-02 00:00:00,1
2020-08-16 00:00:00,1
2020-02-19 00:00:00,1
2011-12-08 00:00:00,1
2014-05-27 00:00:00,1
2015-03-24 00:00:00,1
2023-02-23 00:00:00,1
2009-06-13 00:00:00,1
2012-02-16 00:00:00,1
2018-02-21 00:00:00,1
2020-12-12 00:00:00,1
2016-10-27 00:00:00,1
2015-04-07 00:00:00,1
2009-10-25 00:00:00,1
2016-05-08 00:00:00,1
2014-06-23 00:00:00,1
2015-12-29 00:00:00,1
2015-12-10 00:00:00,1
2013-05-06 00:00:00,1
1987-01-01 00:00:00,1
2015-07-01 00:00:00,1
2012-07-13 00:00:00,1
2017-01-03 00:00:00,1
2015-11-29 00:00:00,1
2016-02-01 00:00:00,1
2015-11-05 00:00:00,1
2016-06-21 00:00:00,1
2019-12-02 00:00:00,1
2011-01-02 00:00:00,1
2014-06-01 00:00:00,1
2013-10-31 00:00:00,1
2020-12-01 00:00:00,1
2010-09-12 00:00:00,1
2010-07-09 00:00:00,1
2020-03-05 00:00:00,1
2014-05-11 00:00:00,1
2018-03-05 00:00:00,1
2001-01-01 00:00:00,1
2014-01-05 00:00:00,1
2010-07-22 00:00:00,1
2024-03-14 00:00:00,1
2008-02-19 00:00:00,1
2011-08-25 00:00:00,1
2021-08-12 00:00:00,1
2012-01-26 00:00:00,1
2022-02-03 00:00:00,1
2019-11-11 00:00:00,1
2009-01-07 00:00:00,1
2007-08-12 00:00:00,1
2002-11-11 00:00:00,1
2022-12-13 00:00:00,1
2014-06-24 00:00:00,1
2018-11-20 00:00:00,1
2012-04-02 00:00:00,1
2011-07-03 00:00:00,1
2011-11-18 00:00:00,1
2011-04-04 00:00:00,1
2013-06-03 00:00:00,1
2020-02-11 00:00:00,1
2016-03-07 00:00:00,1
2012-09-24 00:00:00,1
2018-03-15 00:00:00,1
2009-11-22 00:00:00,1
2018-01-22 00:00:00,1
2019-09-15 00:00:00,1
2015-02-23 00:00:00,1
2012-09-08 00:00:00,1
2015-10-07 00:00:00,1
2023-01-14 00:00:00,1
2009-12-15 00:00:00,1
2010-11-22 00:00:00,1
2015-01-05 00:00:00,1
2018-06-28 00:00:00,1
2014-02-13 00:00:00,1
2012-06-27 00:00:00,1
1999-01-01 00:00:00,1
2022-09-05 00:00:00,1
2011-05-23 00:00:00,1
2013-05-22 00:00:00,1
2023-06-18 00:00:00,1
2016-10-18 00:00:00,1
2006-11-09 00:00:00,1
2012-12-28 00:00:00,1
2009-06-26 00:00:00,1
2011-09-21 00:00:00,1
1992-01-01 00:00:00,1
2024-12-01 00:00:00,1
2016-01-12 00:00:00,1
2010-05-06 00:00:00,1
2010-07-13 00:00:00,1
1988-01-01 00:00:00,1
2017-02-01 00:00:00,1
2014-12-01 00:00:00,1
2011-02-19 00:00:00,1
2010-12-02 00:00:00,1
2022-05-31 00:00:00,1
2023-04-17 00:00:00,1
2021-11-10 00:00:00,1
2023-04-28 00:00:00,1
2018-04-01 00:00:00,1
2013-08-01 00:00:00,1
2019-08-28 00:00:00,1
2013-03-05 00:00:00,1
2015-03-12 00:00:00,1
1984-01-01 00:00:00,1
2021-03-08 00:00:00,1
2010-04-21 00:00:00,1
2011-02-22 00:00:00,1
2010-01-01 00:00:00,1
1995-11-11 00:00:00,1
2023-03-16 00:00:00,1
2018-08-10 00:00:00,1
2019-02-15 00:00:00,1
2016-10-01 00:00:00,1
2022-01-01 00:00:00,1
2023-02-01 00:00:00,1
1998-12-08 00:00:00,1
2014-08-01 00:00:00,1
2014-09-13 00:00:00,1
1991-01-01 00:00:00,1
2014-04-04 00:00:00,1
2015-07-30 00:00:00,1
2013-01-26 00:00:00,1
2005-02-02 00:00:00,1
2020-05-01 00:00:00,1
2012-11-01 00:00:00,1
2010-08-04 00:00:00,1
2016-05-15 00:00:00,1
2019-10-29 00:00:00,1
2017-07-24 00:00:00,1
2016-01-01 00:00:00,1
2020-04-01 00:00:00,1
2021-01-01 00:00:00,1
2012-05-02 00:00:00,1
2017-09-17 00:00:00,1
2019-02-01 00:00:00,1
2010-08-01 00:00:00,1
2017-01-01 00:00:00,1
2015-10-28 00:00:00,1
1995-01-01 00:00:00,1
2007-01-01 00:00:00,1
2011-06-02 00:00:00,1
01/15/2011,1
2017-06-01 00:00:00,1
2022-11-01 00:00:00,1
2015-08-10 00:00:00,1
2017-01-31 00:00:00,1
2022-04-10 00:00:00,1
2015-09-01 00:00:00,1
2017-06-06 00:00:00,1
1981-01-01 00:00:00,1
2015-10-01 00:00:00,1
2021-12-01 00:00:00,1
1994-01-01 00:00:00,1
