idx,column,dtype,n_missing_raw_NaN,pct_missing_raw_NaN,n_NoValue_string,n_effective_missing,pct_effective_missing,n_unique_nonNaN,NULL_semantics,role_inference,sample_or_top_levels
19,MitralRegurgitation,str,19,2.9,29,48,7.4,13,unclear,unknown,Mild (I): 220 (34.1%); Trivial: 131 (20.3%); Mild-to-moderate (I-II): 102 (15.8%); Moderate (II): 64 (9.9%); Severe (IV): 32 (5.0%); No Value: 29 (4.5%); Moderately-severe (III): 22 (3.4%); nan: 19 (2.9%); Mild : 9 (1.4%); Trace: 6 (0.9%); Mild to moderate: 4 (0.6%); Moderate: 3 (0.5%); Moderate to severe: 2 (0.3%); Severe: 2 (0.3%)
20,MitralValveSummary,str,443,68.7,0,443,68.7,57,NULL = no narrative entered (descriptive only; high missingness expected),Echo text (descriptive only),nan: 443 (68.7%); mitral annular calcification.: 60 (9.3%); Mild mitral annular calcification.: 31 (4.8%); Mitral annular calcification.: 11 (1.7%); Mild mitral annular calcification.   : 9 (1.4%); Severe mitral annular calcification.: 8 (1.2%); Mild mitral annulus calcification.: 6 (0.9%); mitral annular calcification.   : 5 (0.8%); mitral annulus calcification.: 5 (0.8%); Normally functioning prosthetic artificial valve in mitral position.: 5 (0.8%); Mild mitral annulus calcification.   : 3 (0.5%); mitral annulus calcification.   : 3 (0.5%); Normal mitral valve structure and function.: 3 (0.5%); S\P Mitral clip.: 3 (0.5%); Mild mitral annular calcification.  : 2 (0.3%)
21,TricuspidValveStructure,str,235,36.4,339,574,89.0,7,unclear,unknown,No Value: 339 (52.6%); nan: 235 (36.4%); Normal: 30 (4.7%); Normal : 24 (3.7%); s/p Repair: 11 (1.7%); Bioprosthetic: 3 (0.5%); Thickened: 2 (0.3%); Thickened : 1 (0.2%)
22,TricuspidRegurgitation,str,19,2.9,26,45,7.0,7,unclear,unknown,Mild (I): 197 (30.5%); Trivial: 164 (25.4%); Mild-to-moderate (I-II): 93 (14.4%); Moderate (II): 64 (9.9%); Severe (IV): 51 (7.9%); Moderately-severe (III): 31 (4.8%); No Value: 26 (4.0%); nan: 19 (2.9%)
23,ECHO_SPAP,str,119,18.4,0,119,18.4,4,unclear,unknown,Severely increased: 150 (23.3%); Moderately increased: 142 (22.0%); Mildly increased: 135 (20.9%); nan: 119 (18.4%); Normal: 99 (15.3%)
24,LeftVentricleEndDiastolicDiameter,float64,8,1.2,0,8,1.2,247,NaN = not measured (true missing),Continuous (echo or lab),"min=3.09999990463257, max=8.69999980926513, median=5.13000011444092"
25,LeftVentricleEndSystolicDiameter,float64,9,1.4,0,9,1.4,272,NaN = not measured (true missing),Continuous (echo or lab),"min=1.53999996185303, max=8.10000038146972, median=3.5"
26,LeftVentricleInterventricularSeptumThickness,float64,8,1.2,0,8,1.2,118,NaN = not measured (true missing),Continuous (echo or lab),"min=0.46000000834465, max=10.0, median=1.16999995708466"
27,LeftVentriclePosteriorWallThickness,float64,10,1.6,0,10,1.6,102,NaN = not measured (true missing),Continuous (echo or lab),"min=0.52999997138977, max=10.0, median=1.0"
28,LeftVentricleEstimatedMass,float64,11,1.7,0,11,1.7,567,NaN = not measured (true missing),Continuous (echo or lab),"min=78.7604064941406, max=3318.68920898437, median=219.449676513671"
29,LeftVentricleEstimatedMassIndex,float64,62,9.6,0,62,9.6,151,NaN = not measured (true missing),Continuous (echo or lab),"min=23.0, max=1881.0, median=114.0"
30,LeftVentricleScoreIndex,float64,5,0.8,0,5,0.8,45,NaN = not measured (true missing),Continuous (echo or lab),"min=1.0, max=2.88000011444092, median=1.0"
31,EstimatedSysPAPressure,float64,108,16.7,0,108,16.7,77,NaN = not measured (true missing),Continuous (echo or lab),"min=19.0, max=105.0, median=49.0"
32,MitralInflowPeakEWave,float64,63,9.8,0,63,9.8,302,NaN = not measured (true missing),Continuous (echo or lab),"min=38.0, max=230.0, median=104.0"
33,TissueDopplerSVelocitySeptal,float64,204,31.6,0,204,31.6,201,NaN = not measured (true missing),Continuous (echo or lab),"min=2.0, max=13.5, median=5.69000005722045"
34,TissueDopplerEVelositySeptal,float64,114,17.7,0,114,17.7,245,NaN = not measured (true missing),Continuous (echo or lab),"min=2.0, max=16.0, median=5.0"
35,TissueDopplerEERatioSeptal,float64,122,18.9,0,122,18.9,474,NaN = not measured (true missing),Continuous (echo or lab),"min=4.30999994277954, max=66.9599990844727, median=19.7199993133545"
36,TissueDopplerSVelocityLateral,float64,131,20.3,0,131,20.3,233,NaN = not measured (true missing),Continuous (echo or lab),"min=2.0, max=14.0, median=6.490000009536745"
37,TissueDopplerEVelosityLateral,float64,114,17.7,0,114,17.7,256,NaN = not measured (true missing),Continuous (echo or lab),"min=2.0, max=70.0, median=7.0"
38,TissueDopplerEERatioLateral,float64,122,18.9,0,122,18.9,452,NaN = not measured (true missing),Continuous (echo or lab),"min=1.24000000953674, max=45.0800018310546, median=14.25"
