outcome_family,variable,variable_type,predictor_role,coding,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,n_model,status
one_year_mortality_logistic,LV_EF,,main_candidate,continuous_per_1SD,617,613,4,0.006482982171799027,variable_level_complete_case_for_predictor,613,ok
one_year_mortality_logistic,LeftVentricleEstimatedMassIndex,,main_candidate,continuous_per_1SD,617,556,61,0.09886547811993517,variable_level_complete_case_for_predictor,556,ok
one_year_mortality_logistic,MI_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,617,617,0,0.0,variable_level_complete_case_for_predictor,617,ok
one_year_mortality_logistic,MitralInflowPeakEWave,,main_candidate,continuous_per_1SD,617,558,59,0.09562398703403566,variable_level_complete_case_for_predictor,558,ok
one_year_mortality_logistic,TissueDopplerEERatioLateral,,main_candidate,continuous_per_1SD,617,501,116,0.1880064829821718,variable_level_complete_case_for_predictor,501,ok
one_year_mortality_logistic,TissueDopplerEERatioSeptal,,main_candidate,continuous_per_1SD,617,501,116,0.1880064829821718,variable_level_complete_case_for_predictor,501,ok
one_year_mortality_logistic,TissueDopplerEVelosityLateral,,main_candidate,continuous_per_1SD,617,509,108,0.17504051863857376,variable_level_complete_case_for_predictor,509,ok
one_year_mortality_logistic,TissueDopplerEVelositySeptal,,main_candidate,continuous_per_1SD,617,509,108,0.17504051863857376,variable_level_complete_case_for_predictor,509,ok
one_year_mortality_logistic,albumin-numeric result,,main_candidate,continuous_per_1SD,617,616,1,0.0016207455429497568,variable_level_complete_case_for_predictor,616,ok
one_year_mortality_logistic,creatinine-numeric result,,main_candidate,continuous_per_1SD,617,616,1,0.0016207455429497568,variable_level_complete_case_for_predictor,616,ok
one_year_mortality_logistic,crp-numeric result,,main_candidate,continuous_per_1SD,617,592,25,0.04051863857374392,variable_level_complete_case_for_predictor,592,ok
one_year_mortality_logistic,days_echo_to_dialysis,,main_candidate,continuous_per_1SD,617,617,0,0.0,variable_level_complete_case_for_predictor,617,ok
one_year_mortality_logistic,echo_to_dialysis_timing_category,,timing_sensitivity_only,categorical_dummy_vs_reference_complete_case,617,617,0,0.0,variable_level_complete_case_for_predictor,617,ok
one_year_mortality_logistic,hb-numeric result,,main_candidate,continuous_per_1SD,617,551,66,0.10696920583468396,variable_level_complete_case_for_predictor,551,ok
one_year_mortality_logistic,m/f,,main_candidate,categorical_dummy_vs_reference_complete_case,617,616,1,0.0016207455429497568,variable_level_complete_case_for_predictor,616,ok
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,,main_candidate,categorical_dummy_vs_reference_complete_case,617,571,46,0.07455429497568881,variable_level_complete_case_for_predictor,571,ok
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,,main_candidate,categorical_dummy_vs_reference_complete_case,617,573,44,0.0713128038897893,variable_level_complete_case_for_predictor,573,ok
survival_cox,AFIB_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,AgeAtFirstHFDate,,main_candidate,continuous_per_1SD,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,CABG_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,COPD_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,Diabetes mellitus_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,ECHO_SPAP,,main_candidate,categorical_dummy_vs_reference_complete_case,644,525,119,0.18478260869565216,variable_level_complete_case_for_predictor,525,ok
survival_cox,EstimatedSysPAPressure,,main_candidate,continuous_per_1SD,644,536,108,0.16770186335403728,variable_level_complete_case_for_predictor,536,ok
survival_cox,HD/PD,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,HTN_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,IHD_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,LACavitySize,,main_candidate,categorical_dummy_vs_reference_complete_case,644,601,43,0.06677018633540373,variable_level_complete_case_for_predictor,601,ok
survival_cox,LV_EF,,main_candidate,continuous_per_1SD,644,640,4,0.006211180124223602,variable_level_complete_case_for_predictor,640,ok
survival_cox,LeftVentricleEstimatedMassIndex,,main_candidate,continuous_per_1SD,644,578,66,0.10248447204968944,variable_level_complete_case_for_predictor,578,ok
survival_cox,MI_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,MitralInflowPeakEWave,,main_candidate,continuous_per_1SD,644,581,63,0.09782608695652174,variable_level_complete_case_for_predictor,581,ok
survival_cox,TissueDopplerEERatioLateral,,main_candidate,continuous_per_1SD,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,522,ok
survival_cox,TissueDopplerEERatioSeptal,,main_candidate,continuous_per_1SD,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,522,ok
survival_cox,TissueDopplerEVelosityLateral,,main_candidate,continuous_per_1SD,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,530,ok
survival_cox,TissueDopplerEVelositySeptal,,main_candidate,continuous_per_1SD,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,530,ok
survival_cox,albumin-numeric result,,main_candidate,continuous_per_1SD,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,643,ok
survival_cox,creatinine-numeric result,,main_candidate,continuous_per_1SD,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,643,ok
survival_cox,crp-numeric result,,main_candidate,continuous_per_1SD,644,619,25,0.03881987577639751,variable_level_complete_case_for_predictor,619,ok
survival_cox,days_echo_to_dialysis,,main_candidate,continuous_per_1SD,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,echo_to_dialysis_timing_category,,timing_sensitivity_only,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
survival_cox,hb-numeric result,,main_candidate,continuous_per_1SD,644,578,66,0.10248447204968944,variable_level_complete_case_for_predictor,578,ok
survival_cox,m/f,,main_candidate,categorical_dummy_vs_reference_complete_case,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,643,ok
survival_cox,mitral_regurgitation_clin_grouped,,main_candidate,categorical_dummy_vs_reference_complete_case,644,596,48,0.07453416149068323,variable_level_complete_case_for_predictor,596,ok
survival_cox,tricuspid_regurgitation_clin_grouped,,main_candidate,categorical_dummy_vs_reference_complete_case,644,599,45,0.06987577639751552,variable_level_complete_case_for_predictor,599,ok
