outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,644,1177,IRR,0.7883959490582821,0.6365504299555992,0.9764633613315841,0.029393304484262268,-0.23775484189754087,-0.4516916340280072,-0.023818049767074523,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.0803416989236502,0.23775484189754087
hospitalization_negative_binomial,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,644,1177,IRR,0.8116124299860189,0.6586204867561489,1.0001431017612674,0.050157153452094524,-0.20873235573866522,-0.4176078030005175,0.0001430915231870611,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.12510582309253557,0.20873235573866522
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__same_day,same_day vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.4060575185375779,0.16292608748278828,1.0120092546769948,0.0530710310820303,-0.9012604581400093,-1.8144586320412197,0.011937715761201062,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.12510582309253557,0.9012604581400093
hospitalization_negative_binomial,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference_complete_case,HD,644,1177,IRR,1.2670009847925285,0.9950202810934963,1.613325402474281,0.05492450769916195,0.2366526786019426,-0.0049921590227360035,0.4782975162266212,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.12510582309253557,0.2366526786019426
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__after_dialysis,after_dialysis vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.7474172226819091,0.5529535340940201,1.0102702493380804,0.05829042076885697,-0.2911317187363769,-0.5924813061365499,0.010217868663796092,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.1257845921854282,0.2911317187363769
hospitalization_negative_binomial,TissueDopplerEVelosityLateral,main_candidate,TissueDopplerEVelosityLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,530,991,IRR,0.9009144343560606,0.7988107981580327,1.0160689113150025,0.08909035943567052,-0.10434499330184668,-0.22463115955734123,0.01594117295364786,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,1.0,0.1818211015642916,0.10434499330184668
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Severely_dilated,Severely dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference_complete_case,Mildly dilated,601,1127,IRR,1.45764337879927,0.9367085377516865,2.268287449217847,0.09488592951953781,0.3768210075083242,-0.06538310409557019,0.8190251191122186,644,601,43,0.06677018633540373,variable_level_complete_case_for_predictor,1.0,0.1818211015642916,0.3768210075083242
hospitalization_negative_binomial,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference_complete_case,0,644,1177,IRR,1.1882209485261876,0.9689346619243638,1.4571354271839283,0.09756254230279061,0.1724571872555481,-0.03155809771939422,0.3764724722304904,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.1818211015642916,0.1724571872555481
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_0_30d,before_0_30d vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,1.2661932279485428,0.9503764672284895,1.686958111639878,0.10690234846720391,0.23601494078673707,-0.05089709159309774,0.5229269731665719,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.19056505596327653,0.23601494078673707
hospitalization_negative_binomial,crp-numeric result,main_candidate,crp-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,619,1137,IRR,0.9157274246567468,0.8201545702893028,1.0224374119779447,0.1174875261847562,-0.08803652992657093,-0.1982624561349891,0.022189396281847254,644,619,25,0.03881987577639751,variable_level_complete_case_for_predictor,1.0,0.20070785723229187,0.08803652992657093
