time_days,survival_prob
1,0.9984472049689441
3,0.9937888198757765
4,0.986024844720497
6,0.9829192546583853
7,0.9813664596273293
9,0.9767080745341615
11,0.9720496894409938
12,0.9658385093167702
13,0.9627329192546584
14,0.9580745341614907
16,0.953416149068323
17,0.9487577639751552
18,0.9456521739130433
19,0.9409937888198756
20,0.9378881987577637
21,0.9363354037267079
23,0.9316770186335402
24,0.9223602484472049
25,0.9161490683229813
26,0.9130434782608695
27,0.9099378881987578
28,0.9052795031055901
29,0.9021739130434784
30,0.892857142857143
31,0.8897515527950312
33,0.8866459627329194
34,0.8819875776397517
35,0.8804347826086957
36,0.8788819875776398
38,0.8773291925465839
39,0.875776397515528
40,0.8711180124223603
41,0.8680124223602486
43,0.861801242236025
44,0.8571428571428573
45,0.8555900621118014
47,0.8524844720496896
49,0.8509316770186336
50,0.8478260869565217
52,0.8462732919254659
53,0.8416149068322981
54,0.8369565217391304
55,0.8354037267080745
58,0.8338509316770186
60,0.8322981366459626
62,0.8307453416149068
64,0.8260869565217391
65,0.8214285714285714
66,0.8198728354978354
68,0.8167613636363635
69,0.8152056277056277
72,0.8105384199134198
78,0.8074269480519479
80,0.804315476190476
82,0.8027597402597401
83,0.8012040043290042
85,0.7996482683982683
86,0.7996482683982683
88,0.7965307312895031
90,0.793413194180738
91,0.7918544256263554
94,0.7887368885175903
95,0.7871781199632077
98,0.7856193514088251
102,0.7825018143000599
104,0.7809430457456773
108,0.7762667400825295
111,0.7731492029737643
114,0.7731492029737643
115,0.7715841236155179
116,0.7700190442572714
118,0.7684539648990248
121,0.7668888855407784
122,0.7637587268242854
123,0.7621904337507243
124,0.759053847603602
125,0.7574855545300407
126,0.7559172614564795
128,0.7543489683829184
129,0.7543489683829184
132,0.7543489683829184
133,0.7527708324657993
136,0.7511926965486803
139,0.7496145606315612
141,0.7480364247144421
142,0.746458288797323
146,0.7448801528802039
149,0.7448801528802039
151,0.7417104501019903
157,0.7401255987128835
159,0.7385407473237767
168,0.7353642279804486
169,0.7337759683087846
173,0.7321842633883751
174,0.7321842633883751
176,0.7305890907012544
177,0.7305890907012544
179,0.7289904274830898
180,0.7289904274830898
181,0.7273882507193907
182,0.7241838971919925
186,0.7193773669008953
188,0.7177716138497772
191,0.7145601077475411
195,0.712954354696423
197,0.712954354696423
201,0.7113449769205846
206,0.7097355991447462
209,0.7081225636921444
213,0.7065095282395427
215,0.704896492786941
216,0.7032834573343393
218,0.7016704218817376
219,0.7016704218817376
220,0.7000536697575861
224,0.6952034133851317
226,0.6935866612609802
227,0.6919699091368288
229,0.6903531570126773
233,0.6887364048885258
236,0.6871196527643744
241,0.6855029006402229
248,0.6838861485160714
250,0.682265565225749
252,0.6806449819354266
258,0.6790243986451041
262,0.6757832320644592
264,0.6741626487741368
265,0.6741626487741368
267,0.6725381604638376
270,0.6709136721535385
274,0.6676646955329402
275,0.6676646955329402
276,0.6660362450560305
279,0.6644077945791209
283,0.6627793441022113
284,0.6611508936253017
285,0.659522443148392
288,0.6578939926714824
295,0.6562655421945728
297,0.6546370917176632
300,0.6513801907638439
303,0.6497517402869343
307,0.6481232898100246
312,0.646494839333115
314,0.6432379383792958
315,0.6416094879023861
316,0.6399810374254765
319,0.6399810374254765
324,0.6383484327381667
327,0.6383484327381667
330,0.6367116418849919
332,0.635074851031817
334,0.6318012693254674
343,0.6301644784722926
344,0.6285276876191178
346,0.6285276876191178
350,0.6268866231605823
352,0.6252455587020468
358,0.6236044942435113
360,0.6236044942435113
366,0.6236044942435113
368,0.6219503709166054
373,0.6202962475896996
388,0.6169791553565995
390,0.6153206092400495
395,0.6136620631234995
403,0.6136620631234995
404,0.6119945031693595
405,0.6103269432152196
406,0.6086593832610797
409,0.6069918233069398
412,0.6053242633527999
413,0.60365670339866
417,0.60198914344452
418,0.5986540235362402
425,0.5969864635821003
432,0.5953189036279604
438,0.5936513436738204
441,0.5919837837196805
445,0.5903162237655406
447,0.5903162237655406
451,0.5886439398455249
453,0.5869716559255092
454,0.5852993720054935
456,0.5852993720054935
458,0.5836222964410079
464,0.5819452208765222
465,0.5819452208765222
467,0.5819452208765222
477,0.5785716253931801
479,0.5785716253931801
484,0.5768798954943696
487,0.5768798954943696
493,0.5751831899193861
495,0.5734864843444026
498,0.5717897787694192
500,0.5700930731944357
505,0.5683963676194522
509,0.5683963676194522
510,0.5649927965558627
513,0.5632910110240679
516,0.5615892254922731
522,0.5615892254922731
525,0.5615892254922731
