dataset,variable,n,n_missing,pct_missing
sensitivity,LeftVentricleSystolicFunction,644,75,11.65
sensitivity,DYSLIPIDEMIA_binary,644,0,0.0
sensitivity,IHD_binary,644,0,0.0
sensitivity,AgeAtFirstHFDate,644,0,0.0
sensitivity,ECHO_SPAP,644,119,18.48
sensitivity,dbp-numeric result,644,137,21.27
sensitivity,LeftVentricleInterventricularSeptumThickness,644,8,1.24
sensitivity,MitralInflowPeakEWave,644,63,9.78
sensitivity,mitral_regurgitation_clin_grouped,644,48,7.45
sensitivity,hba1c-numeric result,644,64,9.94
sensitivity,TissueDopplerSVelocitySeptal,644,203,31.52
sensitivity,LeftVentricleScoreIndex,644,5,0.78
sensitivity,na-numeric result,644,3,0.47
sensitivity,LeftVentricleEndDiastolicDiameter,644,8,1.24
sensitivity,TissueDopplerEERatioLateral,644,122,18.94
sensitivity,lv_cavity_size_clin_grouped,644,74,11.49
sensitivity,GFR,644,1,0.16
sensitivity,OncologicalDiagnosis_binary,644,0,0.0
sensitivity,MI_binary,644,0,0.0
sensitivity,LeftVentriclePosteriorWallThickness,644,13,2.02
sensitivity,lv_wall_thickness_clin_grouped,644,243,37.73
sensitivity,TissueDopplerEVelosityLateral,644,114,17.7
sensitivity,LeftVentricleEndSystolicDiameter,644,9,1.4
sensitivity,rv_size_clin_grouped,644,345,53.57
sensitivity,p-numeric result,644,1,0.16
sensitivity,COPD_binary,644,0,0.0
sensitivity,ua-numeric result,644,1,0.16
sensitivity,aortic_regurgitation_clin_grouped,644,342,53.11
sensitivity,m/f,644,1,0.16
sensitivity,albumin-numeric result,644,1,0.16
sensitivity,tricuspid_regurgitation_clin_grouped,644,45,6.99
sensitivity,k-numeric result,644,3,0.47
sensitivity,AFIB_binary,644,0,0.0
sensitivity,creatinine-numeric result,644,1,0.16
sensitivity,HD/PD,644,0,0.0
sensitivity,Diabetes mellitus_binary,644,0,0.0
