outcome,model_tier,model_type,variable_or_term,effect_measure,log_estimate,se_log_effect,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,source_variable
survival,C_minimal,cox,albumin-numeric result,HR,-0.27931032166937625,0.09620321659049562,0.756305168912786,0.626337972509523,0.9132409875013618,0.0036920955627762135,518,405.0,consultation_only_not_final_stage5,albumin-numeric result
survival,C_minimal,cox,creatinine-numeric result,HR,-0.08046924357397726,0.027229731249900586,0.922683281587444,0.8747312906988021,0.9732639579417074,0.003124685850445931,518,405.0,consultation_only_not_final_stage5,creatinine-numeric result
survival,C_minimal,cox,AFIB_binary,HR,0.22447337363601705,0.10498890149510287,1.2516633836594881,1.0188748272973476,1.5376385636591117,0.03251125325178605,518,405.0,consultation_only_not_final_stage5,AFIB_binary
survival,C_minimal,cox,LV_EF,HR,-0.01863612938494846,0.003407842052679405,0.9815364495436691,0.9750023701411923,0.9881143177562508,4.536008675371677e-08,518,405.0,consultation_only_not_final_stage5,LV_EF
survival,C_minimal,cox,TissueDopplerEERatioSeptal,HR,0.018384876704825557,0.00538416713621304,1.018554919021078,1.007862854179678,1.0293604122422408,0.000638714035599331,518,405.0,consultation_only_not_final_stage5,TissueDopplerEERatioSeptal
survival,C_minimal,cox,m/f_m,HR,0.012896895078841224,0.11084997018122363,1.0129804187091103,0.8151647375828519,1.2587999472729774,0.9073787275565113,518,405.0,consultation_only_not_final_stage5,m/f
hospitalization,C_minimal,negative_binomial,C(Q('m/f'))[T.m],IRR,-0.05595510241970751,0.16817524649117677,0.9455815892626893,0.6800570511764366,1.3147787239405864,0.7393463944133545,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.03961880207364195,0.1516683793288183,1.0404140948950014,0.7728647437791909,1.4005833460109889,0.793922916528703,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,Q('AgeAtFirstHFDate'),IRR,0.030965016209538867,0.006630576259881522,1.0314494192449835,1.0181315021396449,1.0449415446089332,3.011499685857264e-06,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,Q('albumin-numeric result'),IRR,-0.1550173683330427,0.14437542225591055,0.8564003031087601,0.6453301736981389,1.1365057904573403,0.2829525733618279,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,Q('creatinine-numeric result'),IRR,-0.039441356933625105,0.035491569556441976,0.9613263274612547,0.8967260833736395,1.0305803801238131,0.26644438376659985,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,Q('LV_EF'),IRR,-0.010891473418000347,0.005502104755725603,0.989167623931612,0.9785576288955021,0.9998926576648226,0.04775857331893771,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,0.02654559048941,0.0077966354453916165,1.0269010631165383,1.011327864824256,1.0427140694013481,0.0006622477700905909,518,955.0,consultation_only_not_final_stage5,
hospitalization,C_minimal,ZINB_count_part,C(Q('m/f'))[T.m],IRR,-0.055954399352189155,0.16817545312217833,0.9455822540706244,0.6800572538815857,1.3147801808007356,0.7393498590191894,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,C(Q('AFIB_binary'))[T.1],IRR,0.03961844376878321,0.15166828362120394,1.0404137221096428,0.7728646118373294,1.4005825814442576,0.7939246111352287,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,Q('AgeAtFirstHFDate'),IRR,0.03096502618229141,0.006630577006066715,1.0314494295313734,1.0181315108041777,1.0449415565581277,3.0114853412020703e-06,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,Q('albumin-numeric result'),IRR,-0.1550174404403455,0.14437583319899683,0.8564002413560463,0.6453296073851816,1.136506623904105,0.28295371961982707,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,Q('creatinine-numeric result'),IRR,-0.03944130316305271,0.03549157110940287,0.961326379152323,0.8967261288616575,1.030580438675596,0.2664450566058336,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,Q('LV_EF'),IRR,-0.01089144145003071,0.0055021047344916045,0.989167655553293,0.9785576602187294,0.999892689587747,0.04775922595984293,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_minimal,ZINB_count_part,Q('TissueDopplerEERatioSeptal'),IRR,0.0265456092299005,0.007796637049207286,1.0269010823611682,1.0113278805979489,1.042714092220071,0.0006622436397468798,518,955.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,-0.21457281405113238,0.2551735043124102,0.806886056950231,0.4893325875763615,1.33051655546871,0.4004096357176419,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,0.42307764415026977,0.2332155305328336,1.526652827026287,0.9665475381233017,2.4113339099623596,0.06966144040859996,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,0.3050241066064992,0.2502117316399384,1.3566577070255283,0.8307794791381878,2.2154135727341684,0.2228199141549848,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,0.27682315413937847,0.4077039304185171,1.3189331025496611,0.5931686319610426,2.9326981152899627,0.4971500067885638,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,0.04006313182794164,0.010847904919981815,1.04087648455329,1.0189790943535806,1.0632444395567482,0.00022147788131801695,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,-0.9446759290235209,0.22625136020400838,0.38880555108199005,0.2495418618188677,0.6057891667967836,2.9754377848843332e-05,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,-0.1801156678694881,0.06530873965646829,0.8351736030728193,0.7348265473670157,0.9492239355925922,0.005817209804781301,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,-0.029498619204695094,0.007958051191727098,0.9709322182989171,0.9559053285569891,0.9861953316589904,0.0002099242336408659,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,0.0056791528808490185,0.012330266396792036,1.0056953098410393,0.9816816885469896,1.0302963455835623,0.6450953783141471,398,164.0,consultation_only_not_final_stage5,
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,-0.0049981061921354625,0.00851771510984525,0.9950143635569251,0.9785407694046039,1.0117652883149608,0.5573450579057253,398,164.0,consultation_only_not_final_stage5,
survival,C_lite,cox,AgeAtFirstHFDate,HR,0.03689311327282184,0.005379065761891241,1.0375821111548362,1.0267005778128162,1.0485789729289543,6.951577398280668e-12,415,340.0,consultation_only_not_final_stage5,AgeAtFirstHFDate
survival,C_lite,cox,albumin-numeric result,HR,-0.49955828358229315,0.11018754240370196,0.606798633442712,0.4889368699058228,0.7530718262643293,5.795678612355344e-06,415,340.0,consultation_only_not_final_stage5,albumin-numeric result
survival,C_lite,cox,creatinine-numeric result,HR,-0.0918933525516302,0.031109398705750056,0.912202428419114,0.8582441579539629,0.9695530842848616,0.003138085545018115,415,340.0,consultation_only_not_final_stage5,creatinine-numeric result
survival,C_lite,cox,AFIB_binary,HR,0.30306350470347687,0.11353599334964849,1.3540004471090088,1.0838689997648143,1.69145645015145,0.00760057829909792,415,340.0,consultation_only_not_final_stage5,AFIB_binary
survival,C_lite,cox,LV_EF,HR,-0.019751803771489405,0.0038072382323168234,0.9804419851139485,0.9731531069869582,0.9877854566486655,2.1260902215338294e-07,415,340.0,consultation_only_not_final_stage5,LV_EF
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,0.014107610870476676,0.006044156346622638,1.014207592828299,1.0022638407407958,1.026293675915015,0.01959095798757771,415,340.0,consultation_only_not_final_stage5,TissueDopplerEERatioSeptal
survival,C_lite,cox,EstimatedSysPAPressure,HR,0.003040995264191313,0.004262468096663053,1.0030456237808663,0.9947008018610665,1.0114604527346835,0.4755764274774035,415,340.0,consultation_only_not_final_stage5,EstimatedSysPAPressure
survival,C_lite,cox,m/f_m,HR,-0.05428804287714793,0.12404799813833556,0.9471592447317704,0.7427337436508714,1.207849572676144,0.6616491581373432,415,340.0,consultation_only_not_final_stage5,m/f
survival,C_lite,cox,LACavitySize_Moderate_or_Severe,HR,0.13013097339869384,0.12256727023059932,1.13897754931669,0.895747725568595,1.4482535883906191,0.2883670731918191,415,340.0,consultation_only_not_final_stage5,LACavitySize
survival,C_lite,cox,LACavitySize_Normal,HR,0.23421801259255412,0.2055309252026083,1.2639200126519627,0.8448339341993647,1.8908968185517503,0.2544631855938725,415,340.0,consultation_only_not_final_stage5,LACavitySize
hospitalization,C_lite,negative_binomial,C(Q('m/f'))[T.m],IRR,0.22835290570857614,,1.256528683341315,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.10479317235772564,,1.1104809084540865,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,-0.21289467130804127,,0.8082412637283732,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,0.22408323597842136,,1.251175157882712,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('AgeAtFirstHFDate'),IRR,0.021203903369018926,,1.0214303034852792,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('albumin-numeric result'),IRR,-0.06787955059807972,,0.9343730114699186,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('creatinine-numeric result'),IRR,-0.05618876619380634,,0.9453606669116041,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('LV_EF'),IRR,-0.0037254879417763917,,0.99628144307861,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,0.033383262801243825,,1.033946736635214,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,negative_binomial,Q('EstimatedSysPAPressure'),IRR,0.0031177546406806833,,1.003122619892587,,,,415,781.0,consultation_only_not_final_stage5,
hospitalization,C_lite,ZINB_count_part,C(Q('m/f'))[T.m],IRR,0.13986856601441947,,1.1501226237223274,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,C(Q('AFIB_binary'))[T.1],IRR,0.04464730002348591,,1.0456589909609526,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,-0.27849825051539195,,0.7569195919679234,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,C(Q('LACavitySize'))[T.Normal],IRR,0.3879682887600382,,1.4739830417170776,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('AgeAtFirstHFDate'),IRR,0.02593796734093653,,1.0262772837899679,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('albumin-numeric result'),IRR,-0.17460555715004125,,0.8397882039010127,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('creatinine-numeric result'),IRR,-0.05507060390660107,,0.9464183247635154,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('LV_EF'),IRR,-0.010954171881587014,,0.9891056065855782,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('TissueDopplerEERatioSeptal'),IRR,0.027094388880414284,,1.0274647794368537,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
hospitalization,C_lite,ZINB_count_part,Q('EstimatedSysPAPressure'),IRR,0.004900537149141433,,1.0049125644199866,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
one_year_mortality,C_full,logistic,C(Q('m/f'))[T.m],OR,-0.2295412498180214,0.25732539397493576,0.794898178556342,0.4800336746554028,1.3162891431018455,0.37237835519213214,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,C(Q('AFIB_binary'))[T.1],OR,0.4134637528387275,0.2357603670371617,1.5120460790251835,0.9525367723791831,2.400204812445093,0.07947407440540127,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],OR,0.16811635067425323,0.23425021712808652,1.1830742541273591,0.7475051568861113,1.8724482070593365,0.4729555265302138,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,0.305661522315905,0.25189008558771986,1.3575227376230306,0.8285790399189734,2.224130583056676,0.22494947942845134,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Normal],OR,0.3383272229706961,0.4142903168256552,1.4025993910613745,0.6227053671342979,3.15925501149801,0.41413256273428856,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('AgeAtFirstHFDate'),OR,0.04039948850843498,0.010921382406559228,1.0412266491992457,1.0191751044644697,1.0637553156995159,0.000216349514421123,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('albumin-numeric result'),OR,-0.956556994735325,0.23055631686910505,0.3842134602649086,0.24452264034680046,0.6037068094773093,3.3406472520662204e-05,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('creatinine-numeric result'),OR,-0.1730801008398273,0.06642855442673114,0.841070241713622,0.7383922677204245,0.9580262177989805,0.009173824871390726,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('LV_EF'),OR,-0.02941767619721464,0.008033250124020324,0.9710108116534742,0.9558418137215958,0.9864205382236629,0.0002502642907873183,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('TissueDopplerEERatioSeptal'),OR,0.00825229899039521,0.012792977470554572,1.0082864430674612,0.9833187618813787,1.0338880846008647,0.5188852170923408,391,163.0,consultation_only_not_final_stage5,
one_year_mortality,C_full,logistic,Q('EstimatedSysPAPressure'),OR,-0.006264351498341042,0.008613432895370036,0.9937552286445392,0.9771191494506773,1.0106745477391852,0.4670562945764073,391,163.0,consultation_only_not_final_stage5,
survival,C_full,cox,AgeAtFirstHFDate,HR,0.03741768037317369,0.005423880177107868,1.0381265353752949,1.0271490692106486,1.0492213211841954,5.248341325911119e-12,408,335.0,consultation_only_not_final_stage5,AgeAtFirstHFDate
survival,C_full,cox,albumin-numeric result,HR,-0.5054665722924865,0.11167740202924326,0.6032240621254453,0.4846393571479567,0.7508248427624782,6.007329633009631e-06,408,335.0,consultation_only_not_final_stage5,albumin-numeric result
survival,C_full,cox,creatinine-numeric result,HR,-0.08467054523029185,0.0319539918173379,0.9188149425079297,0.8630357026550954,0.9781992749299223,0.008054795412478468,408,335.0,consultation_only_not_final_stage5,creatinine-numeric result
survival,C_full,cox,AFIB_binary,HR,0.29376674116289775,0.11505615898499151,1.3414709572141412,1.070644510451818,1.6808047035982154,0.010672391971942106,408,335.0,consultation_only_not_final_stage5,AFIB_binary
survival,C_full,cox,LV_EF,HR,-0.019347013901866186,0.0038149307868789654,0.9808389384331969,0.973532431059372,0.9882002822442072,3.94913950797859e-07,408,335.0,consultation_only_not_final_stage5,LV_EF
survival,C_full,cox,TissueDopplerEERatioSeptal,HR,0.01614460472064465,0.0063022137923358515,1.0162756330351914,1.0037996932649647,1.028906632698537,0.0104150607517183,408,335.0,consultation_only_not_final_stage5,TissueDopplerEERatioSeptal
survival,C_full,cox,EstimatedSysPAPressure,HR,0.0029955377028218692,0.0043057447912455485,1.003000028809193,0.9945712223484823,1.0115002678397946,0.4866122082798674,408,335.0,consultation_only_not_final_stage5,EstimatedSysPAPressure
survival,C_full,cox,m/f_m,HR,-0.05674656783717848,0.1254233425357067,0.9448334902217024,0.7389154307278532,1.208135988397452,0.6509518597544774,408,335.0,consultation_only_not_final_stage5,m/f
survival,C_full,cox,tricuspid_regurgitation_clin_grouped_None_Trace_Mild,HR,-0.04339756321310032,0.11449192724882401,0.957530635428964,0.7650626009921052,1.1984181642077896,0.7046546379652235,408,335.0,consultation_only_not_final_stage5,tricuspid_regurgitation_clin_grouped
survival,C_full,cox,LACavitySize_Moderate_or_Severe,HR,0.13251613602472767,0.12304687394913533,1.1416974383986505,0.8970431571411498,1.4530772911753436,0.28149968045973817,408,335.0,consultation_only_not_final_stage5,LACavitySize
survival,C_full,cox,LACavitySize_Normal,HR,0.22907120669641987,0.20987950285650606,1.257431573370392,0.8333637478870562,1.897291747712341,0.2750786446615736,408,335.0,consultation_only_not_final_stage5,LACavitySize
hospitalization,C_full,negative_binomial,C(Q('m/f'))[T.m],IRR,0.2220857669425337,,1.248678468606255,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.10767671532739753,,1.1136876490357885,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],IRR,-0.017736453549650956,,0.9824199115238941,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,-0.21083978901760472,,0.8099038119730664,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,0.2323776079496188,,1.261596027584795,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('AgeAtFirstHFDate'),IRR,0.02126271495363918,,1.0214903771865036,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('albumin-numeric result'),IRR,-0.07158535511979759,,0.9309168156873452,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('creatinine-numeric result'),IRR,-0.05537431428299134,,0.94613093134227,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('LV_EF'),IRR,-0.0029878457105395424,,0.9970166134582471,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,0.034692421055009415,,1.0353012229644587,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,negative_binomial,Q('EstimatedSysPAPressure'),IRR,0.002714939760924034,,1.002718628547399,,,,408,766.0,consultation_only_not_final_stage5,
hospitalization,C_full,ZINB_count_part,C(Q('m/f'))[T.m],IRR,0.13725958860687096,,1.1471258906853579,,,,408,766.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically,
